key,ceb
p5,"Ang impormasyon mahimong makolekta pinaagi sa mga third-party survey (ie, census, fisheries department records, ug uban pa), focus nga mga grupo nga naglangkob sa 10-20 yawe nga mga miyembro sa komunidad o mahinungdanong mga impormasyon. Ang mga lider sa komunidad ingon man ang lainlaing kahibalo ug lainlaing mga mangingisda ug negosyante sa isda (lakip ang mga babaye ug mga batan-on) mao ang sulundon nga mga partisipante nga ilakip sa grupo sa pokus. Sa pagpasayon sa mga grupo sa focus, girekomenda nga adunay, sa labing gamay, usa ka facilitator ug usa ka note-taker. Sa focus group, girekomenda usab nga adunay mga partisipante nga maghatag usa ka lista sa/kasayuran sa pagkontak alang sa mga mangingisda sa komunidad nga mahimo ' g makontak aron madumala ang Mga Survey sa Panimalay. Kung dili posible nga himuon ang Survey Sa Pag-Profile sa Komunidad sa usa ka format sa grupo nga focus, ang usa ka alternatibo mao ang pagdumala sa parehas nga mga pangutana sama sa tagsatagsa nga mga survey nga adunay hinungdanon nga mga informant ug pool ang mga tubag. Ang mga pangutana nga gilakip sa community profiling survey ug mga rekomendasyon alang sa pagpahigayon sa focus group discussions makita sa Apendise A sa ubos."
lms,Landings Monitoring Survey
p6,"Capture yawe data nga gikinahanglan sa kuwentahon ang yano nga gitas-on-based indicators sa fisheries sa panglawas ug sa pagsubay sa mga kausaban sa fisheries produksyon, bili, ug komposisyon."
point8,Petsa nga mitugpa
point9,Location
point10,Ngalan sa negosyante sa isda
point11,Ngalan sa isda
point12,Day fishing (day fishing/gleining)
point13,"Mga ngalan sa Species (lokal, komon, siyentipikong ngalan)"
point14,Total nga ihap
point15,Total nga timbang
point16,Total presyo
point17,"Rason total dakpon dili gibaligya, kon magamit"
p7,Ang mga mangingisda sa ilang pagdakop o pagdakop sa mga isda sa balay/merkado sa mga pumapalit.
p8,"Ang Pag-Monitor sa Landings Kinahanglan nga ipahigayon adlaw-adlaw o kanunay kutob sa mahimo. Paghimo Og Mga Landings Monitoring Survey sa dili pa ug human sa pagpatuman aron masusi ang mga epekto sa pagsira sa pangisda o uban pang mga pamaagi sa pagdumala. Girekomenda namon ang pagkolekta sa datos 30 ka adlaw sa wala pa ug pagkahuman sa temporaryo nga mga panahon sa pagsira. Kay sa unang pito ka adlaw sa sampling mga panahon, kita og rekomend nga enumerators pagpahigayon Landings Monitoring Survey sa adlaw-adlaw. Kung mahimo, ipadayon ang adlaw-adlaw nga pag-monitor alang sa tibuuk nga 30-adlaw nga panahon. Kung dili kini posible, pag-survey labing menos 80% sa mga adlaw sulod sa matag 30 ka adlaw. Girekomenda usab namon ang pagsuhid sa 80% o labaw pa sa tanan nga mga mangingisda nga nakadakup sa usa ka partikular nga adlaw nga pre o post-closure. Pag-apod-apod sa mga paningkamot sa representante nga survey tali sa mga mangingisda sa sakayan ug mga dili-bangka nga mangingisda. Mangolekta og datos gikan sa tanan nga mga mangingisda nga mitugpa sa baryo, dili igsapayan kung sila nangisda sa sulod sa closure site."
p9,"Alang sa mas dugay nga pagsira, siguruha nga ang datos nakolekta sa parehas nga bulan alang sa matag tuig aron makuha ang pagbag-o sa panahon sa pagsira. Kung dili kana mahimo, girekomenda namon ang pagkolekta sa datos sa parehas nga bulan sa wala pa ug pagkahuman sa pagsira. Ingon sa gipahayag sa taas, girekomenda namon ang pagsurbi sa labing menos 80% sa adlaw sa sulud sa bulan ug 80% sa mga mangingisda nga nakakuha sa landing sa matag adlaw."
p10,"Pinaagi sa paggamit sa kobo nga porma, sa pagsugat sa mangingisda sa landing sites/buyers' mga balay sa pagrekord sa ilang mga pagdakop."
lps,Kapangyarihan: Ang Kapangyarihan
p11,Sabta ang naobserbahan catch trends.
point18,Petsa nga mitugpa
point19,Location
point20,Pangisda ground
point21,Ngalan sa negosyante sa isda
point22,Ngalan sa isda
point23,Fishing Effort (mga oras ug mga adlaw sa pagpangisda/pagpanghagdaw)
point24,"Matang sa barko (gidaghanon sa barko, gidaghanon sa tripulante)"
point25,"Mga ngalan sa Species (lokal, komon, siyentipikong ngalan)"
point26,Gears nga gigamit
point27,Isda sa Habitat
point28,Total nga ihap
point29,Total nga timbang
point30,Total presyo
point31,"Rason total dakpon dili gibaligya, kon magamit"
point32,Mga sampol sa tagsatagsa nga gibug-aton ug gitas-on (Numero 2-8)
point33,"Partner-piho nga sample data (sex, catch kalidad, gonads, estilo, # lit-ag, etc.)"
p12,"Usa ka representante nga sample sa pagdakup sa sulud sa komunidad. Pagrekord labing menos 50 ka mga sampol (labing menos 100) alang sa matag target nga espisye, nga nagrepresentar sa lainlaing mga tipo sa gear ug mga profile sa mangingisda."
p13,"Ang kini nga survey kinahanglan una nga himuon sa pagsugod sa pag-apil sa usa ka komunidad ug pagkahuman gihimo matag usa sa duha ka tuig, sa wala pa ug pagkahuman sa pagpatuman sa estratehiya sa pagdumala, o kung kinahanglan aron ipatin-aw ang mga pagkunhod nga naobserbahan pinaagi sa datos sa pag-monitor. Pinaagi sa paggamit sa kobo nga porma, sa pagsugat sa mga mangingisda sa landing sites sa sample sa ilang pagdakop ug sa pagrekord sa ilang mga pangisda nga kalihokan."
p14,"Pinaagi sa paggamit sa kobo nga porma, sa pagsugat sa mga mangingisda sa landing sites sa sample sa ilang pagdakop ug sa pagrekord sa ilang mga pangisda nga kalihokan."
ms,Pagsukod Standardization: Gitas-on type sa pagsukod sa species group
fig2,"Figure 2: Ang Kinatibuk-ang gitas-on kinahanglan gamiton aron sukdon ang finfish, shark ug eel (AFS)."
fig3,Figure 3: Ang Gilapdon sa disc kinahanglan gamiton sa pagsukod sa mga silaw ug mga skate.
fig4,Figure 4: ang gilapdon sa Carapace kinahanglan gamiton sa pagsukod sa crab (Suryandari et. ang (2018).
fig5,Figure 5: Ang gitas-on sa Mantle kinahanglan gamiton sa pagsukod sa kugita ug pusit (FAO).
fig6,Figure 6: Ang gitas-on sa Carapace kinahanglan gamiton sa pagsukod sa hipon ug lobster (Hart et al. 2001).
fig7,Figure 7: Ang Gitas-on kinahanglan gamiton sa pagsukod sa bivalves ug gastropods.
fig8,Numero 8: Ang Kinatibuk-ang gitas-on kinahanglan gamiton sa pagsukod sa mga pepino sa dagat. Ang gilapdon o diametro sa pagsulay kinahanglan gamiton kung sukdon ang mga urchin sa dagat.
dfo,Data Dagan Overview
p15,"Ang pagkolekta sa datos, pag-validate, pagbag-o, ug paghanduraw mao ang upat nga nag-unang sangkap sa usa ka sistema sa datos. Ang nag-Unang aplikasyon software nga gigamit Mao Ang KoboToolBox, Smartsheet, PostgreSQL, Ug R."
p16,"Ang KoboToolBox usa ka libre ug bukas nga gigikanan nga software nga usa ka kusug nga himan alang sa pagkolekta sa datos nga ma-access pinaagi sa mga mahagiton nga palibot ug daghang mga platform, sama sa mga mobile device, kompyuter, ug papel. Ang mga Enumerators nagkolekta sa datos sa socioeconomic ug ekolohikal nga mga kondisyon nga mahinungdanon sa pagtimbang-timbang sa mga komunidad sa pangisda ug mga kahimtang pinaagi sa KoboToolBox survey questionnaires. Ang Smartsheet usa ka plataporma sa pagdumala sa pagtinabangay nga naghatag usa ka dali ug intuitive nga interface alang sa mga organisasyon nga magplano, magsubay, mag-automate, ug magdumala sa lainlaing mga proyekto ug proseso sa tinuud nga oras. Ang mga pakisayran nga mga file nga gigamit aron mapuno ang mga porma sa survey ug magkonektar sa dugang nga datos sa master datasets gidumala Sa Smartsheet. Dugang pa, ang datos gipamatud-an Sa Smartsheet. Ang PostgreSQL usa ka libre ug bukas nga gigikanan nga sistema sa pagdumala sa database nga gigamit ingon usa ka bodega sa datos alang sa daghang mga aplikasyon sa web, analytics, ug geospatial samtang gitipig ang wala ' y istruktura ug istruktura nga datos sa usa ka produkto. Ang R usa ka open-source software environment ug programming language nga kaylap nga gigamit alang sa data science, statistical computing, ug data visualization. Ang mga dashboard sa datos gitukod gamit Ang Sinaw Nga pakete Gikan Sa r programming language ug gidumala sa shinyapps.io Usa ka plataporma ingon usa ka Serbisyo (PaaS) alang sa pag-host sa Sinaw nga mga web app (aplikasyon)."
fig9,Figure 9: Data Dagan diagram.
p17,"Ang pagkolekta sa datos naglangkob sa sistematikong pagkolekta ug pagsukod sa kasayuran gikan sa mga may kalabutan nga mga gigikanan sa mga variable of interest alang sa paghimo og desisyon, estratehikong pagplano, mga pagsusi sa sangputanan, ug uban pang mga katuyoan. Pinaagi sa paggamit sa quantitative ug qualitative data sa survey questionnaires, atong makita ang usa ka mas lawom nga pagsabot sa socioeconomic ug ecological nga kahimtang uban sa komon nga mga komunidad sa pangisda ug adaptive nga mga pamaagi sa pagdumala. Ang pagpanghimatuud sa datos nagtumong sa pagpadapat sa mga pamaagi aron masukod ang mga kondisyon sa nakolekta nga datos ug mahibal-an kung ang nakolekta nga datos nakab-ot ang gihubit nga mga sukdanan sa kalidad, sama sa katukma, pagkamakanunayon, kalabutan, pagkakompleto, ug pagkatalagsaon. Ang pagbag-o sa datos nagbag-o, gihinloan, ug gihan-ay ang hilaw nga datos sa usa ka magamit nga format nga mahimong analisahon ug masusi alang sa paghimo og desisyon. Data analysis ug visualization naglakip sa pagdesinyo ug pagmugna accessible graphics o visual pagpasundayag sa impormasyon sa epektibo nga makig-estorya sa mga komplikado qualitative ug quantitative data kaniadto nakolekta, napamatud-an, ug mausab sa tibuok target mamiminaw. Gihubit namon ang proseso sa pag agos sa datos sa ubos:"
step1,Ang datos nakolekta pinaagi sa mga porma sa survey Sa KoboToolBox.
step2,Ang datos gibalhin sa database.
step3,"Kung gipili sa enumerator ang mga kapilian nga pre-populated nga tubag sa mga survey, ang datos dili kinahanglan mapanghimatuud ug direkta nga makaagi sa proseso sa pagtuki ug paghanduraw sa datos."
step4,"Kung ang enumerator mano-mano nga mosulod sa datos sama sa usa ka bag-ong mangingisda, pumapalit, data collector, landing site, o species, ang datos gipamatud-an Sa Smartsheet sa wala pa maapil sa katapusan nga lamesa sa datos ug makita sa dashboard. Ang mga lead sa Field team gipahibalo pinaagi sa email kung ang datos andam na alang sa pagpanghimatuud. Ang mga lead sa Team mano-mano nga susihon ang mga lamesa sa pagkontrol sa kalidad aron kumpirmahon nga ang bag-ong gidugang nga kasayuran balido."
step5,"Pagkahuman sa pag-validate, ang bag-ong datos giduso sa parehas nga mga file sa pakisayran ug balik sa database alang sa katapusang pagbag-o sa wala pa ang pagtuki ug paghanduraw."
step6,"Sa higayon nga ang datos iduso sa mga file sa pakisayran, ang mga lead sa team ipahibalo pinaagi sa email kung adunay dugang nga kasayuran nga gikinahanglan sa mga file sa pakisayran."
step7,Ang gi-update nga mga reference nga mga file dayon i-upload sa kobotoolbox platform alang sa paglakip sa mga porma.
step8,Ang gi-update nga datos gikan sa mga file sa pakisayran gigamit usab sa proseso sa pagbag-o sa datos aron moapil sa dugang nga mga natad sa datos sama sa koordinasyon ug gender.
step9,Ang katapusang mga lakang sa proseso sa pagbag-o sa datos nagresulta sa mga lamesa sa master data nga gigamit alang sa pagtuki sa datos ug paghanduraw sa mga dashboard sa datos.
step10,"Ang mga dashboard sa datos (ie Shiny apps) direkta nga nagkonektar sa database, nga nagbira sa labing bag-ong datos nga magamit, sa ingon naghatag mga kauban duol sa diha-diha nga pag-access sa hilaw ug gisumada nga datos."
datasecurity,Seguridad Sa Datos
p18,Sa ubos usa ka lista sa mga platform sa software diin ang datos mahimong tipigan ug ibalhin gikan sa database. Ang kasayuran sa seguridad sa datos alang sa matag panggawas nga plataporma magamit sa website nga piho sa platform nga na-link dinhi.
p19,"Gipatuman ang mga dugang nga pamaagi sa seguridad, dugang sa mga lakang sa seguridad sa datos nga gihatag sa mga platform sa software sa ibabaw. Ang tanan nga mga account sa tanan nga mga platform sa software nga gigamit giprotektahan sa password."
p20,"Gigamit namon Ang Github ingon among sistema sa pagkontrol sa bersyon alang sa mga produkto nga coded. Sa kasagaran, ang tanan nga mga folder ug proyekto nga adunay mga datos sa pangisdaan ug socioeconomic pribado ug ma-access lamang sa mga kawani ug mga kontraktor."
p21,"Gikan sa bisan unsang gipaambit nga mga platform sa datos (pananglitan Sinaw Nga Mga App), kinahanglan ang panghimatuud sa gumagamit alang sa pagtan-aw o pag-download sa datos, depende sa kasabutan sa pagpakigbahin sa datos nga gipili sa matag kauban nga organisasyon. Kauban niini ang pagpanghimatuud sa mga ninggamit sa wala pa tugutan ang datos nga makita o ma-download, pag-log in sa mga platform sa visualization sa datos, ug regular nga pagdumala sa napamatud-an nga mga ninggamit."
p22,"Ang Pag-Access sa Mga dokumento sa Smartsheet (pananglitan mga file nga pakisayran, mga sheet sa pag-validate sa datos) gikutuban sa mga kawani nga giila sa matag organisasyon, ug ang matag kaparis mahimo ra nga tan-awon ang ilang kaugalingon nga kasayuran nga piho sa kauban. Ang mga eksepsiyon niini naglakip sa mga kawani nga nagkontrol ug nagtabang sa kalidad sa datos nga mga daloy sa trabaho, Ug Mga Blue Ventures staff nga nagtabang sa mga kauban sa mga workflows sa kasayuran sa Smartsheet."
dp,Data Privacy
p24,"Ang Personal identifiable information (PII) ug fisheries catch data gipanag-iya sa mga mangingisda ug mga mamalitay sa isda ug dili gayud ipaambit nga walay una nga pagtugot. Aron mapanalipdan ang pagkapribado sa mga mangingisda, pumapalit, ug mga kolektor sa datos, ang tanan nga mga ngalan dili mailhan sa mga numero sa random identification. Busa, ang tanan nga bahin o bug-os nga magamit nga datos sa publiko maglakip lamang sa mga numero sa random, numeric id. Tan-awa ang seksyon sa pagpaambit sa datos alang sa usa ka hingpit nga katin-awan sa mga kasabutan sa pagpaambit sa datos."
p25,Ang datos nga gikonsiderar NGA PI naglakip sa:
point34,"Ang mga ngalan sa mga mangingisda, buyers, ug data collectors"
point35,Ngalan sa mga respondents alang sa bisan unsang survey
datasharing,Data Pagpakigbahin
p26,"Ang fisheries data system gilaraw aron mapadali ang paggamit sa imong datos ug maghatag usa ka plataporma alang sa imong aktibo nga pakiglambigit sa labi ka halapad nga pagdumala sa pangisda ug mga paningkamot sa pagtipig. Ang nakolekta nga datos nga nagtinabangay sa tibuuk nga mga kasosyo makahatag kusog nga mga panan-aw alang sa pag-monitor sa pangisda, pagsusi sa mga estratehiya sa pagdumala, paggiya sa paghimo og desisyon sa lokal ug nasudnon nga lebel, pagsabut sa mga pagbag-o sa rehiyon, ug pag-ila sa potensyal nga serbisyo sa pinansya."
p27,"Giila namon ang hinungdanon nga kahinungdanon sa pagpanag-iya sa datos ug paggamit alang sa tanan nga nag-amot nga mga kauban. Ang among katuyoan mao ang paghatag kanimo sa pagka-flexible sa pagdumala ug pagtino kung giunsa gigamit ang imong datos. Pinaagi sa pagpili sa usa sa tulo nga lebel sa pagtugot sa paggamit sa datos, mahimo nimong makontrol ang gilapdon diin gipaambit ang imong datos sa ubang mga ninggamit. Mahimo nimo ipasibo ang lebel sa pagtugot pinahiuyon sa mga lahi sa datos, ug labi ka hinungdan, adunay ka kagawasan sa pag-adjust sa lebel sa pagtugot sa imong datos bisan unsang orasa. Ang Personal identifiable information (PII) ug fisheries catch data gipanag-iya sa mga mangingisda ug mga mamalitay sa isda ug dili gayud ipaambit nga walay una nga pagtugot. Pinaagi sa pagpili sa lebel sa pagtugot sa paggamit sa datos, imong gikumpirma nga ang mga indibidwal nga pagtugot nakuha gikan sa mga namalit sa isda ug isda."
p28,Ang tanan nga mga numero gibutang Sa Lebel Nga 1 - Pribado. Ang mga mogamit adunay higayon nga ayohon ang ilang lebel sa pagtugot kung kinahanglan.
level1,Day 1 - Private
point36,Ang data mao ang hugot nga alang sa internal nga mga katuyoan sa mga orihinal nga data contributor.
point37,Ang datos mahimong ma-download sa orihinal nga magtatampo sa datos.
point38,Ang datos dili iapil sa mga rehiyonal nga pagtuki nga gihatag sa dashboard.
point39,Ang dili awtorisado nga pagpakigbahin o pag-apod-apod sa datos ngadto sa mga panggawas nga partido hugot nga gidili.
level2,Level 2-Pagpakigbahin sa Uban Nga Mga Data Contributors
point40,Ang datos sa lebel sa pagbiyahe magamit alang sa ubang mga magtatampo sa datos nga ma-download.
point41,Ang mga katingbanan sa datos ug mga panan-aw magamit alang sa ubang mga magtatampo sa datos.
point42,Ang mga datos sa rehiyonal nga pagtuki sa dashboard.
level3,Level 3-Share uban Sa Tanan Nga Mga Tiggamit
point43,Ang datos sa lebel sa pagbiyahe magamit alang sa tanan nga mga ninggamit sa pag-download.
point44,Ang mga summary ug visualization sa datos magamit alang sa tanan nga mga ninggamit.
point45,Ang mga datos sa rehiyonal nga pagtuki sa dashboard.
point46,Ang orihinal nga tigtampo sa datos mahimong magtino sa bisan unsang mga limitasyon sa paggamit o mga kondisyon nga magamit sa tanan nga tiggamit.
newdata,Bag-o ug Flagged Data
p29,"Sa mga survey, ang pila ka mga pangutana nagtugot sa mga enumerator nga magdugang usa ka bag-ong mangingisda, pumapalit, data collector, landing site, species, o ""uban pa.""""Ang kasayuran gikan sa kini nga mga kapilian mga bag-ong puntos sa datos ug kinahanglan nga ipailalom sa pagpanghimatuud sa wala pa iduso sa katapusang dataset, nga makita sa dashboard, ug idugang sa mga file sa pakisayran. Adunay usab mga pagpugong nga gitakda sa gibug-aton, presyo ug gitas-on sa usa ka species, ug kung ang datos nga nakolekta sa ubos o sa ibabaw niini nga mga limitasyon, kini nga mga kantidad gibandera alang sa pagrepaso. Ang mga limitasyon sa gibug-aton ug presyo gitakda sa mga kauban sa min_max_ref."
p30,"Ang tanan nga datos nga nag-agos pinaagi sa sistema sa datos sa pangisda gipamatud-an Sa Smartsheet. Ang bisan kinsa sa kini nga mga bag-o o gi-flag nga mga entry gipadala sa lamesa sa validation sa Smartsheet alang sa mga koponan sa uma aron mapamatud-an. Ang mga lamesa sa validation piho nga kauban ug mahimong ma-access pinaagi sa mga hangyo sa pag-update nga gipadala sa imong email o pinaagi sa pagbisita sa Dinamikong mga link sa Pagtan-aw nga gihatag kanimo. Ang mga lead sa Field team ipahibalo pinaagi sa email kung ang datos kinahanglan nga mapamatud-an sa MGA lamesa. Sa higayon nga ang datos mapamatud-an sa MGA lamesa sa validation, maghimo kami bag-ong kasayuran sa pakisayran nga file ug maghatag mga kinahanglan nga pagtul-id sa master dataset."
p31,"Ang piho, matag lakang nga mga panudlo kung giunsa makompleto Ang pag-validate sa datos Sa Smartsheet makit-an sa panid Sa Pag-Validate sa Datos."
datacol,Pagkolekta Sa Datos
p32,"Blue Ventures nagdumala sa tanan nga mga survey pinaagi Sa Kobo Toolbox mga porma shareable pinaagi sa Usa ka Kobo Toolbox account. Mahimo ka mag-set up usa ka account https://kf.kobotoolbox.org/accounts/signup. Palihug kontaka ang Imong Username Ug mga detalye sa account. Sa higayon nga ang mga survey sa mga mipakigbahin, access Sa Kobo mga porma pinaagi Sa KoboCollect free Android mobile phone app o Pinaagi sa Enketo web nga porma. Ang detalyado nga mga panudlo sa pag-set up sa usa ka kobo account, pagkolekta sa datos, ug pagsumite sa datos makit-an sa panid sa Pag-Setup sa Kobo. Paggamit USA ka QR code aron ma-configure ang tanan nga mga aparato pagkahuman sa kamut nga pag-set up sa una nga telepono o tablet aron ma-set up ang daghang mga telepono o tablet sa ilalum sa usa ka account sa pagkolekta sa datos. Manwal setup sa unang device nagkinahanglan Sa KOBO server URL, username, ug password. ANG KOBO server URL https://kc.kobotoolbox.org. Dugang nga kasayuran sa pag-set up sa pagkolekta sa datos sa Kobo, lakip ang kung giunsa ang pag-configure sa daghang mga aparato sa pagkolekta sa datos pinaagi sa USA KA QR code, makit-an sa https://support.kobotoolbox.org/."
p33,"Sa higayon nga inyong na-download KoboCollect, abli sa app ug mosulod sa server URL, username, ug password sa sumpaysumpaya ang imong KoboCollect app sa kobotoolbox server. Ang pagkonektar sa KoboCollect app sa kobotoolbox server nagtugot kanimo sa pag-download sa mga porma nga gipakatap gikan sa KoboToolbox sa imong mobile device ug ipadala ang datos nga nakolekta pinaagi sa app balik sa server. Sa home screen, pilia ang "" Get Blangko Nga Porma.""""Usa ka lista sa tanan nimong gipakatap nga mga porma sa survey kinahanglan makita. Pindota ang ""Pilia Ang Tanan"" aron ipadala ang tanan nga mga porma sa survey sa app, o pilia ang mga gusto nimo pinaagi sa pagpili niini sa kamut. Unya i-klik ""Get Pinili nga.""Aron ma-deploy ang survey, pilia ang ""Pun-a Ang Blangko nga Porma.”"
p34,"Samtang ang webform awtomatik nga gi-update kung ang usa ka bag-ong bersyon sa survey anaa, ang mga tiggamit kinahanglan nga mag-configure sa ""auto-update"" mismo sa app. Ang kanunay nga pag-update sa mga survey sa app nagsiguro sa paggamit sa labing bag-ong bersyon sa porma ug dili hinungdan sa mga isyu sa pipeline sa datos. Mahimo nimong i-set up ang auto-update sa app pinaagi sa pag-adto sa ""Settings"" ug ""Form Management.""""Ang dugang nga kasayuran sa awtomatikong pag-update sa mga survey sa app makit-an sa panid sa Pag-Setup Sa Kobo. Mahinungdanon nga hinumdoman nga ang usa ka koneksyon gikinahanglan alang sa app aron makuha ang labing bag-ong bersyon sa survey, bisan sa mga setting sa pag-update sa auto. Busa, advise enumerators nga adunay usa ka internet koneksyon sa atubangan sa pagpahigayon sa uma nga buhat aron KoboCollect mahimo pagbitad sa labing bag-o nga bersyon."
p35,"Human sa pagkolekta sa datos, ang mga survey nga gisumite pinaagi sa web form awtomatik nga isumite sa server sa higayon nga ang data collector moigo sa ""Submit"" button. Ang datos nga nakolekta pinaagi sa kobocollect app una nga natipig sa app sa usa ka lugar nga naghupot ug pagkahuman giduso sa server. Ang nakompleto nga mga survey nagpabilin sa paghupot sa wala pa isumite sa server aron ang mga kolektor sa datos makahimo sa mga pag-edit sa survey pagkahuman sa pagkolekta sa datos, o kung wala ' y koneksyon sa internet, ang app makaluwas sa mga survey ug dayon iduso ang mga survey sa server kung adunay koneksyon sa internet. Sa piho nga paagi, kung kompleto ang survey, maigo sa mogamit ang ""Save form ug exit,"" nga gisiguro nga ang ""Mark form ingon nahuman"" gisusi usab. Ang ""Edit Saved Form"" awtomatik nga nagtipig sa naluwas nga porma. Ang data collector makahimo sa gikinahanglan nga mga kausaban ug pagpili ""Luwasa Porma ug Exit. Ang home screen usab adunay usa ka buton nga gitawag nga ""Ipadala Ang Nahuman nga Porma.""Press Pagpili Sa Tanan nga mga (o pagpili sa mga nga imong gusto sa upload) ug unya mopadayon ""Ipadala Pinili nga.""Pagpili"" View Gipadala Nga Porma"" aron masiguro ang malampuson nga pag-upload sa mga porma ug kinahanglan nimo karon nga makita ang tanan nga gisumite nga mga porma."
p36,"Ang usa ka sentral nga sistema sa pagtipig sa datos nagsumpay sa datos sa Kobo, ug ang mga awtomatikong pag-analisar ug paghanduraw magamit pinaagi sa usa ka standardized dashboard. Ang hilaw nga datos gipaluyohan sa database Sa kobotoolbox ug magamit pinaagi sa pag-download o direkta nga link sa laing database o bodega sa datos."
translations,Mga hubad
p37,"Ang mga paghubad alang sa tanan nga mga sinultian nahuman pinaagi sa pag-edit sa Mga sheet sa paghubad Sa Smartsheet. Kung nahibal-an nimo nga ang usa ka paghubad nanginahanglan pag-update o sayup sa mga survey, palihug direkta nga i-update ang katugbang nga paghubad sa angay Nga Smartsheet sheet. Kung ang team nanginahanglan bag-ong mga hubad, ang mga kauban makadawat usa ka pahibalo gikan sa Smartsheet."
ref,Reference File
p38,"Ang mga pakisayran nga file mga kauban o piho nga nasud ug adunay sulud nga komprehensibo nga kasayuran sa lebel sa administratibo sa mga komunidad sa pangisda (nasud, lalawigan, distrito, baryo), mga landing site, mangingisda, pumapalit, data collector, mga lugar sa pagdumala, mga tipo sa puy-anan, mga tipo sa gear, ug mga organisasyon sa pakigtambayayong. Ang pila ka kasayuran nagpopular sa mga lista sa dropdown sa mga survey, ug ang uban giapil sa master data pagkahuman nakolekta ang datos. Ang bag-ong kasayuran kinahanglan idugang direkta sa mga sheet sa pakisayran."
p39,"Piho nga, lakang-sa-lakang nga mga panudlo alang sa kon sa unsang paagi sa pag-update sa pakisayran files Sa Smartsheet makita diha sa Pakisayran Files panid."
appendixa,Apendise A: Giya Sa Panaghisgutan Sa Grupo Sa Focus
p40,Importante nga mga konsiderasyon sa dili pa pagpahigayon sa pangisda profiling o survey
p41,Relasyon ug pagsalig
p42,"Ang pagtukod sa mga relasyon ug pag-angkon og pagsalig gikan sa komunidad usa ka importante nga lakang sa dili pa mangayo mahitungod sa impormasyon sa pangisda. Ang unang lakang sa pagtukod sa mga relasyon ug pag-angkon sa komunidad nga pagsalig mao ang pagpaila sa imong kaugalingon, sa imong organisasyon, ug sa katuyoan sa pagpahigayon sa fisheries profiling."
p43,Pagpangandam
