key,fil
p5,"Ang impormasyon ay maaaring mangolekta sa pamamagitan ng mga survey ng third-party (i.e., census, fisheries department records, atbp.), Mga focus group na binubuo ng 10-20 pangunahing miyembro ng komunidad o mga pangunahing tagapagbigay-alam. Ang mga pinuno ng komunidad pati na rin ang iba ' t ibang mga may kaalaman at magkakaibang mga mangingisda at mangangalakal ng isda (kabilang ang mga kababaihan at kabataan) ay magiging perpektong mga kalahok na isama sa pangkat ng pokus. Sa pagpapadali ng mga focus group, inirerekomenda na magkaroon, sa pinakamaliit, ng isang facilitator at isang note-taker. Sa focus group, inirerekomenda din na ang mga kalahok ay magbigay ng listahan ng/impormasyon sa pakikipag-ugnay para sa mga mangingisda sa komunidad na maaaring makipag-ugnay upang pamahalaan ang mga survey sa sambahayan. Kung hindi posible na isagawa ang Community Profiling Survey sa isang format ng focus group, ang isang alternatibo ay ang pagbibigay ng parehong mga katanungan tulad ng mga indibidwal na survey na may mga pangunahing tagapagbigay-alam at pag-pool ng mga tugon. Ang mga tanong na kasama sa community profiling survey at mga rekomendasyon para sa pagsasagawa ng mga talakayan ng focus group ay matatagpuan sa Appendix A sa ibaba."
lms,Pagsisiyasat Sa Pagsubaybay Sa Landings
p6,"Kunin ang pangunahing data na kinakailangan upang makalkula ang mga simpleng tagapagpahiwatig na nakabatay sa Haba ng kalusugan ng palaisdaan at upang subaybayan ang mga pagbabago sa produksyon, halaga, at komposisyon ng pangisdaan."
point8,Nakarating ang petsa
point9,Lokasyon ng Landing
point10,Pangalan ng negosyante ng isda
point11,Pangalan ng Fisher
point12,Pangingisda pagsisikap (araw pangingisda / gleaning)
point13,"Pagkakakilanlan ng Species (lokal, karaniwan, pang-agham na pangalan)"
point14,Kabuuang bilang
point15,Kabuuang timbang
point16,Kabuuang presyo
point17,"Dahilan kabuuang catch hindi ibinebenta, kung naaangkop"
p7,Mga mangingisda habang nilalapag nila ang kanilang catch o sa bahay/palengke ng mga mamimili ng isda.
p8,"Ang survey sa pagsubaybay sa Landings ay dapat isagawa araw-araw o nang madalas hangga ' t maaari. Magsagawa ng mga survey sa pagsubaybay sa Landings bago at pagkatapos ng pagpapatupad upang suriin ang mga epekto ng pagsasara ng pangisdaan o iba pang mga diskarte sa pamamahala. Inirerekumenda namin ang pagkolekta ng data 30 araw bago at pagkatapos ng pansamantalang mga panahon ng pagsasara. Para sa unang pitong araw ng mga panahon ng sampling, inirerekumenda namin na ang mga Enumerator ay nagsasagawa ng mga survey sa pagsubaybay sa Landings araw-araw. Kung maaari, ipagpatuloy ang pang-araw-araw na pagsubaybay sa buong 30-araw na panahon. Kung hindi ito posible, survey ng hindi bababa sa 80% ng mga araw sa loob ng bawat 30 araw. Inirerekumenda rin namin ang pag-survey ng 80% o higit pa sa lahat ng mga Fishers landing catch sa isang partikular na araw pre o post-closure. Ipamahagi ang mga pagsisikap sa survey ng kinatawan sa pagitan ng mga mangingisda ng bangka at mga mangingisda na hindi bangka. Kolektahin ang data mula sa lahat ng mga mangingisda landing sa village, hindi alintana kung o hindi sila ay pangingisda sa loob ng pagsasara ng site."
p9,"Para sa mas matagal na pagsasara, tiyakin na ang data ay nakolekta sa parehong buwan para sa bawat taon upang makuha ang pagbabago sa panahon ng pagsasara. Kung hindi iyon magagawa, inirerekumenda namin ang pangangalap ng data sa parehong buwan bago at pagkatapos ng pagsasara. Tulad ng nakasaad sa itaas, inirerekumenda namin ang pagsuri ng hindi bababa sa 80% ng araw sa loob ng buwan at 80% ng mga fishers landing catch sa bawat araw."
p10,"Gamit ang form na Kobo, matugunan ang mga mangingisda sa mga landing site/bahay ng mga mamimili upang maitala ang kanilang catch."
lps,Survey Sa Pag-Profile Ng Landings
p11,Unawain ang sinusunod na mga trend ng catch.
point18,Nakarating ang petsa
point19,Lokasyon ng Landing
point20,Pangunahing lugar ng pangingisda
point21,Pangalan ng negosyante ng isda
point22,Pangalan ng Fisher
point23,Pangingisda pagsisikap (oras at araw pangingisda/gleaning)
point24,"Uri ng barko (numero ng pagpaparehistro ng bangka, numero ng crew)"
point25,"Pagkakakilanlan ng Species (lokal, karaniwan, pang-agham na pangalan)"
point26,Ginamit ang mga Gears
point27,Ang Habitat fished
point28,Kabuuang bilang
point29,Kabuuang timbang
point30,Kabuuang presyo
point31,"Dahilan kabuuang catch hindi ibinebenta, kung naaangkop"
point32,Mga sample ng mga indibidwal na timbang at haba (figure 2-8)
point33,"Ang data ng sample na partikular sa kasosyo (sex, kalidad ng catch, gonads, stylet, # traps, atbp.)"
p12,"Isang kinatawan na sample ng catch sa loob ng komunidad. Mag-Record ng hindi bababa sa 50 mga sample (perpektong 100) para sa bawat target na species, na kumakatawan sa iba ' t ibang mga uri ng gear at mga profile ng fisher."
p13,"Ang survey na ito ay dapat na isagawa sa simula ng paglahok sa isang komunidad at pagkatapos ay isagawa bawat isa hanggang dalawang taon, bago at pagkatapos ipatupad ang diskarte sa pamamahala, o kung kinakailangan upang ipaliwanag ang mga pagtanggi na sinusunod sa pamamagitan ng data ng pagsubaybay. Gamit ang form na Kobo, matugunan ang mga mangingisda sa mga landing site upang mai-sample ang kanilang catch at maitala ang kanilang aktibidad sa pangingisda."
p14,"Gamit ang form na Kobo, matugunan ang mga mangingisda sa mga landing site upang mai-sample ang kanilang catch at maitala ang kanilang aktibidad sa pangingisda."
ms,Pamantayan sa Pagsukat: Uri ng haba upang masukat ayon sa pangkat ng species
fig2,"Larawan 2: Ang kabuuang haba ay dapat gamitin upang masukat ang finfish, shark at eels (AFS)."
fig3,Larawan 3: Ang lapad ng disc ay dapat gamitin upang masukat ang mga sinag at skate.
fig4,"Larawan 4: Ang lapad ng Carapace ay dapat gamitin kapag sinusukat ang alimango (Suryandari et. al, 2018)."
fig5,Larawan 5: Ang haba ng Mantle ay dapat gamitin kapag sinusukat ang pugita at pusit (FAO).
fig6,Larawan 6: Ang haba ng Carapace ay dapat gamitin kapag sinusukat ang hipon at lobster (Hart et al. 2001).
fig7,Larawan 7: Ang haba ay dapat gamitin kapag sinusukat ang mga bivalves at gastropods.
fig8,Larawan 8: Ang kabuuang haba ay dapat gamitin kapag sinusukat ang mga pipino sa dagat. Ang lapad o diameter ng pagsubok ay dapat gamitin kapag sumusukat sa mga sea urchin.
dfo,Pangkalahatang-Ideya Ng Daloy Ng Data
p15,"Ang pagkolekta ng Data, pagpapatunay, pagbabagong-anyo, at paggunita ay ang apat na pangunahing sangkap ng data system. Ang pangunahing mga application ng software na ginamit ay KoboToolBox, Smartsheet, PostgreSQL, at R."
p16,"Ang KoboToolBox ay isang libre at open-source na software na isang malakas na toolkit para sa pagkolekta ng data na naa-access sa pamamagitan ng mapaghamong mga kapaligiran at maraming mga platform, tulad ng mga mobile device, computer, at papel. Kinokolekta ng mga Enumerator ang data sa mga kondisyon ng socioeconomic at ecological na mahalaga upang masuri ang mga komunidad ng pangisdaan at katayuan sa pamamagitan ng mga talatanungan sa survey ng KoBoToolbox. Ang Smartsheet ay isang collaborative work management platform na nagbibigay ng flexible at intuitive na interface para sa mga organisasyon na magplano, subaybayan, i-automate, at pamahalaan ang iba ' t ibang proyekto at proseso sa real-time. Ang mga file ng sanggunian na ginagamit upang punan ang mga form ng survey at ikonekta ang karagdagang data sa mga master dataset ay pinamamahalaan sa Smartsheet. Bilang karagdagan, ang data ay napatunayan sa Smartsheet. Ang PostgreSQL ay isang libreng at open-source na sistema ng pamamahala ng database na ginagamit bilang isang bodega ng data para sa maraming mga Web, analytics, at geospatial na aplikasyon habang nag-iimbak ng hindi nakabalangkas at nakabalangkas na data sa isang solong produkto. R ay isang libre at open-source na kapaligiran ng software at programming language na malawakang ginagamit para sa data science, statistical computing, at visualization ng data. Ang mga dashboard ng Data ay binuo gamit ang makintab na pakete mula sa R programming language at naka-host sa shinyapps.io, isang platform bilang isang serbisyo (paas) para sa pagho-host ng Shiny web apps (applications)."
fig9,Larawan 9: diagram ng daloy ng data.
p17,"Ang pagkolekta ng data ay nagsasangkot ng sistematikong pagkolekta at pagsukat ng impormasyon mula sa mga kaugnay na mapagkukunan sa mga variable ng interes para sa paggawa ng desisyon, estratehikong pagpaplano, mga pagsusuri sa kinalabasan, at iba pang mga layunin. Sa pamamagitan ng pagsasama ng dami at husay na data sa mga talatanungan sa survey, nagkakaroon tayo ng mas malalim na pag-unawa sa sosyo-ekonomiko at ekolohikal na mga kondisyon na nauugnay sa mga pamayanan ng pangingisda at mga diskarte sa pamamahala ng adaptive. Ang pagpapatunay ng Data ay tumutukoy sa paglalapat ng mga pamamaraan upang masukat ang mga kundisyon ng nakolektang data at matukoy kung natutugunan ng nakolektang data ang tinukoy na pamantayan sa kalidad, tulad ng kawastuhan, pagkakapare-pareho, kaugnayan, pagkakumpleto, at pagiging natatangi. Ang pagbabagong-anyo ng Data ay nagko-convert, naglilinis, at nagtatayo ng hilaw na data sa isang magagamit na format na maaaring masuri at masuri para sa paggawa ng desisyon. Ang pagsusuri at pagtingin sa Data ay nagsasangkot ng pagdidisenyo at paglikha ng mga naa-access na graphics o visual na pagpapakita ng impormasyon upang epektibong maipahayag ang kumplikadong kwalitatibong at pang-kuantitatibong data na dati nang nakolekta, na-verify, at binago sa mga target na madla. Inilarawan namin ang proseso ng daloy ng data sa ibaba:"
step1,Ang Data ay nakolekta sa pamamagitan ng mga form ng survey ng KoboToolBox.
step2,Ang Data ay nakuha sa database.
step3,"Kung pinili ng enumerator ang mga pre-populated na pagpipilian ng sagot sa mga survey, ang data ay hindi kailangang mapatunayan at maaaring direktang dumaan sa proseso ng pagsusuri ng data at paggunita."
step4,"Kung ang Enumerator ay manu-manong naglalagay ng data tulad ng isang bagong mangingisda, mamimili, kolektor ng data, landing site, o species, ang data ay napapatunayan sa Smartsheet bago isama sa huling talahanayan ng data at makita sa dashboard. Field team leads ay aabisuhan sa pamamagitan ng email kapag ang data ay handa na para sa pagpapatunay. Manu-manong susuriin ng Team leads ang mga talahanayan ng kontrol sa kalidad upang kumpirmahin na ang bagong idinagdag na impormasyon ay may bisa."
step5,"Pagkatapos ng pagpapatunay, ang bagong data ay itinulak sa parehong mga file ng sanggunian at bumalik sa database para sa pangwakas na pagbabagong-anyo bago ang pagsusuri at paggunita."
step6,"Kapag ang data ay itinulak sa mga file ng sanggunian, ang mga lead ng koponan ay aabisuhan sa pamamagitan ng email kung ang anumang karagdagang impormasyon ay kinakailangan sa mga file ng sanggunian."
step7,Ang mga na-update na mga file ng sanggunian ay pagkatapos ay na-upload sa platform ng KoboToolBox para isama sa mga form.
step8,Ang na-update na data mula sa mga file ng sanggunian ay ginagamit din sa proseso ng pagbabagong-anyo ng data upang sumali sa mga karagdagang patlang ng data tulad ng mga coordinate at kasarian.
step9,Ang pangwakas na mga hakbang ng proseso ng pagbabagong-anyo ng data ay nagreresulta sa mga talahanayan ng data ng master na ginagamit para sa pagsusuri ng data at paggunita sa mga dashboard ng data.
step10,"Ang mga dashboard ng Data (ibig sabihin, makintab na apps) ay kumonekta nang direkta sa database, hinila ang pinaka-up-to-date na data na magagamit, sa gayon ay nagbibigay ng mga kasosyo na malapit sa agarang pag-access sa raw at summarized data."
datasecurity,Seguridad Ng Data
p18,Nasa ibaba ang isang listahan ng mga platform ng software kung saan ang data ay maaaring maiimbak at ilipat sa transit mula sa database. Ang impormasyon sa seguridad ng Data para sa bawat panlabas na platform ay magagamit sa website na tukoy sa platform na naka-link dito.
p19,"Ipinatupad ang mga karagdagang pamamaraan sa seguridad, bilang karagdagan sa mga hakbang sa seguridad ng data na ibinigay ng mga platform ng software sa itaas. Lahat ng account sa lahat ng software platform na ginamit ay protektado ng password."
p20,"Ginagamit namin ang Github bilang aming bersyon control system para sa mga naka-code na produkto. Bilang default, ang lahat ng mga folder at proyekto na may data ng pangisdaan at socioeconomic ay pribado at naa-access lamang sa mga kawani at kontratista."
p21,"Makintab na Apps), Kinakailangan ang pagpapatunay ng gumagamit para sa pagtingin o pag-download ng data, depende sa kasunduan sa pagbabahagi ng data na pinili ng bawat samahan ng kasosyo. Kabilang dito ang pag-verify ng mga gumagamit bago payagan ang data na makita o ma-download, mga gumagamit na nag-log in sa mga platform ng pagtingin sa data, at regular na pamamahala ng mga na-verify na gumagamit."
p22,"Ang pag-Access sa mga dokumento ng Smartsheet (hal.mga file ng sanggunian, mga sheet ng Pagpapatunay ng data) ay limitado sa mga tauhan na nakilala ng bawat organisasyon, at ang bawat kasosyo ay maaaring tingnan lamang ang kanilang sariling impormasyon na partikular sa kasosyo. Ang mga eksepsiyon dito ay kinabibilangan ng mga kawani na kumokontrol at tumutulong sa mga daloy ng trabaho sa kalidad ng data, at mga kawani ng Blue Ventures na tumutulong sa mga kasosyo sa mga daloy ng trabaho sa impormasyon sa Smartsheet."
dp,Pagkapribado Ng Data
p24,"Ang personal identifiable information (PII) at fisheries catch data ay pag-aari ng mga mangingisda at mamimili ng isda at hindi kailanman ibabahagi nang walang paunang pahintulot. Upang maprotektahan ang privacy ng fisher, mga mamimili, at mga kolektor ng data, ang lahat ng mga pangalan ay hindi nagpapakilala sa mga random na numero ng pagkakakilanlan. Samakatuwid, ang lahat ng bahagyang o ganap na magagamit na data sa publiko ay isasama lamang ang mga random, numerong numero ng id. Tingnan ang seksyon sa pagbabahagi ng data para sa isang buong paliwanag ng mga kasunduan sa pagbabahagi ng data."
p25,Ang Data na itinuturing na PII ay kinabibilangan ng:
point34,"Mga pangalan ng mga mangingisda, mamimili, at mga kolektor ng data"
point35,Mga pangalan ng mga sumasagot para sa anumang mga survey
datasharing,Pagbabahagi Ng Data
p26,"Ang fisheries data system ay idinisenyo upang i-streamline ang paggamit ng iyong data at magbigay ng isang platform para sa iyong aktibong pakikipag-ugnayan sa mas malawak na pamamahala ng pangisdaan at mga pagsisikap sa pag-iingat. Ang pinagsama-samang data na nakolekta nang sama-sama sa mga kasosyo ay maaaring magbunga ng malakas na pananaw para sa pagsubaybay sa palaisdaan, pagtatasa ng mga diskarte sa pamamahala, paggabay sa paggawa ng desisyon sa parehong lokal at pambansang antas, pag-unawa sa mga pagbabago sa rehiyon, at pagkilala sa mga potensyal na serbisyo sa pananalapi."
p27,"Kinikilala namin ang kritikal na kahalagahan ng pagmamay-ari ng data at paggamit para sa lahat ng nag-aambag na kasosyo. Ang aming layunin ay upang bigyan ka ng kakayahang umangkop sa pamamahala at pagtukoy kung paano ginagamit ang iyong data. Sa pamamagitan ng pagpili ng isa sa tatlong mga antas ng pahintulot sa paggamit ng data, maaari mong ayusin ang lawak kung saan ibinabahagi ang iyong data sa ibang mga gumagamit. Maaari mong maiangkop ang mga antas ng pahintulot batay sa mga uri ng data, at mahalaga, mayroon kang kalayaan upang ayusin ang iyong antas ng pahintulot ng data sa anumang oras. Ang personal identifiable information (PII) at fisheries catch data ay pag-aari ng mga mangingisda at mamimili ng isda at hindi kailanman ibabahagi nang walang paunang pahintulot. Sa pamamagitan ng pagpili ng antas ng pahintulot sa paggamit ng data, kinukumpirma mo na ang mga indibidwal na pahintulot ay nakuha mula sa parehong mga mangingisda at mamimili ng isda."
p28,Ang lahat ng data ay kasalukuyang nakatakda sa antas 1 - pribado. Ang mga gumagamit ay magkakaroon ng pagkakataon na ayusin ang kanilang mga antas ng pahintulot kung kinakailangan.
level1,Antas 1-Pribado
point36,Ang data ay mahigpit para sa panloob na mga layunin ng orihinal na data contributor.
point37,Ang Data ay magagamit para sa pag-download ng orihinal na data contributor.
point38,Ang Data ay hindi isasama sa mga pagsusuri sa rehiyon na ibinigay sa dashboard.
point39,Mahigpit na ipinagbabawal ang hindi awtorisadong pagbabahagi o pamamahagi ng data sa mga panlabas na partido.
level2,Antas 2-Ibahagi sa iba pang mga nag-aambag ng Data
point40,Ang data ng antas ng biyahe ay magagamit para sa iba pang mga nag-aambag ng data upang i-download.
point41,Ang mga buod ng Data at visualization ay magagamit para sa iba pang mga nag-aambag ng data.
point42,Ang Data ay isasama sa mga pagsusuri sa rehiyon sa dashboard.
level3,Antas 3-Ibahagi sa lahat ng mga gumagamit
point43,Trip level data ay magagamit para sa lahat ng mga gumagamit upang i-download.
point44,Ang mga buod ng Data at visualization ay magagamit para sa lahat ng mga gumagamit.
point45,Ang Data ay isasama sa mga pagsusuri sa rehiyon sa dashboard.
point46,Ang orihinal na nag-aambag ng data ay maaaring tukuyin ang anumang mga limitasyon sa paggamit o kundisyon na naaangkop sa lahat ng mga gumagamit.
newdata,Pagpapatunay ng bago at naka-flag na Data
p29,"Sa mga survey, ang ilang mga katanungan ay nagpapahintulot sa mga Enumerator na magdagdag ng isang bagong mangingisda, mamimili, kolektor ng data, landing site, species, o ""iba pa.""Ang impormasyon mula sa mga pagpipiliang ito ay mga bagong puntos ng data at dapat sumailalim sa pag-verify bago itulak sa panghuling dataset, mailarawan sa dashboard, at idinagdag sa mga sanggunian na file. Mayroon ding mga hadlang na itinakda sa timbang, Presyo at haba ng isang species, at kung ang data na nakolekta ay nasa ibaba o sa itaas ng mga hadlang na ito, ang mga halagang ito ay na-flag para sa pagsusuri. Ang mga hadlang sa timbang at presyo ay itinakda ng mga kasosyo sa min_max_ref. Ang mga paghihigpit sa Haba ng mga Species ay itinakda ng team gamit ang mga biological parameter."
p30,"Ang lahat ng data na dumadaloy sa sistema ng data ng pangisdaan ay napatunayan sa Smartsheet. Ang alinman sa mga bago o naka-flag na mga entry na ito ay ipinadala sa talahanayan ng pagpapatunay sa Smartsheet para mapatunayan ng mga koponan sa larangan. Ang mga talahanayan ng pagpapatunay ay partikular sa kasosyo at maaaring ma-access sa pamamagitan ng mga kahilingan sa pag-update na ipinadala sa iyong email o sa pamamagitan ng pagbisita sa mga link ng Dynamic View na ibinigay sa iyo. Ang mga lead ng Field team ay aabisuhan sa pamamagitan ng email kapag kailangang ma-validate ang data sa mga talahanayan. Kapag na-verify na ang data sa mga talahanayan ng pagpapatunay, maglalagay kami ng bagong impormasyon sa reference file at magbibigay ng mga kinakailangang pagwawasto sa master dataset."
p31,"Ang mga tiyak, sunud-sunod na mga tagubilin para sa kung paano makumpleto ang pagpapatunay ng data sa Smartsheet ay matatagpuan sa pahina ng Pagpapatunay ng data."
datacol,Pagkolekta Ng Data
p32,"Ang Blue Ventures ay namamahala sa lahat ng mga survey sa pamamagitan ng mga form ng Kobo Toolbox na maibabahagi sa pamamagitan ng isang Kobo Toolbox account. Maaari kang mag-set up ng isang account sa https://kf.kobotoolbox.org/accounts/signup/. mangyaring makipag-ugnay sa koponan gamit ang iyong username at mga detalye ng account. Kapag ibinahagi ang mga survey, i-access ang mga form ng Kobo sa pamamagitan ng kobocollect libreng Android mobile phone app o sa pamamagitan ng form ng web ng Enketo. Ang mga detalyadong tagubilin sa pag-set up ng isang kobo account, pagkolekta ng data, at pagsusumite ng data ay matatagpuan sa pahina ng pag-Setup ng Kobo. Gumamit ng isang QR code upang mai-configure ang lahat ng mga aparato pagkatapos ng manu-manong pag-set up ng unang telepono o tablet upang mag-set up ng maraming mga telepono o tablet sa ilalim ng isang account sa pagkolekta ng data. Ang manu-manong pag-setup ng unang aparato ay nangangailangan ng Kobo server URL, username, at password. Ang KOBO server URL ay https://kc.kobotoolbox.org. ang karagdagang impormasyon sa pag-set up ng koleksyon ng data kasama ang Kobo, kabilang ang kung paano i-configure ang maraming mga aparato sa pagkolekta ng data sa pamamagitan ng isang QR code, ay matatagpuan sa https://support.kobotoolbox.org/."
p33,"Kapag na-download mo na ang KoboCollect, buksan ang app at ipasok ang URL ng server, username, at password upang ikonekta ang iyong kobocollect app sa KoBoToolbox server. Ang pagkonekta sa kobocollect app sa KoBoToolbox server ay nagbibigay-daan sa iyo upang mag-download ng mga naka-deploy na form mula sa KoboToolbox sa iyong mobile device at magpadala ng data na nakolekta sa pamamagitan ng app pabalik sa server. Sa home screen, piliin ang "" Kumuha ng blangko na Form.""Ang isang listahan ng lahat ng iyong mga naka-deploy na form ng survey ay dapat lumitaw. Pindutin ang"" Piliin ang lahat "" upang maipadala ang lahat ng mga form ng survey sa app, o piliin ang mga nais mong magkaroon sa pamamagitan ng pagpili ng mga ito nang manu-mano. Pagkatapos ay i-click ang ""Pumili.""Upang i-deploy ang survey, Piliin ang ""Punan ang blangko na Form.”"
p34,"Habang ang webform ay awtomatikong na-update kapag magagamit ang isang bagong bersyon ng survey, dapat i-configure ng mga gumagamit ang ""auto-update"" sa kanilang sarili sa app. Ang regular na pag-update ng mga survey sa app ay nagsisiguro gamit ang pinakabagong bersyon ng form at hindi nagiging sanhi ng mga isyu sa pipeline ng data. Maaari kang mag-set up ng auto-update sa app sa pamamagitan ng pagpunta sa ""mga setting"" at ""pamamahala ng Form.""Ang karagdagang impormasyon sa awtomatikong pag-update ng mga survey sa app ay matatagpuan sa pahina ng pag-Setup ng Kobo. Mahalagang tandaan na ang isang koneksyon ay kinakailangan para sa app na hilahin ang pinakabagong bersyon ng survey, kahit na naka-on ang mga setting ng auto-update. Samakatuwid, payuhan ang mga Enumerator na magkaroon ng koneksyon sa internet bago magsagawa ng gawaing bukid upang ang KoboCollect ay maaaring hilahin ang pinakabagong bersyon."
p35,"Matapos mangolekta ng data, ang mga survey na isinumite sa pamamagitan ng web form ay Awtomatikong isusumite sa server sa sandaling ang kolektor ng data ay tumama sa pindutan ng ""isumite"". Ang data na nakolekta sa pamamagitan ng kobocollect app ay unang nai-save sa app sa isang lugar na may hawak at pagkatapos ay itinulak sa server. Ang mga nakumpletong survey ay mananatiling naka-hold bago isumite sa server upang ang mga kolektor ng data ay maaaring gumawa ng mga pag-edit ng survey pagkatapos ng pagkolekta ng data, o kung walang koneksyon sa internet, Maaaring i-save ng app ang mga survey at pagkatapos ay itulak ang mga survey sa server sa sandaling may koneksyon sa internet. Partikular, kapag kumpleto ang survey, tatama ang gumagamit ng ""I-Save ang form at exit,"" tinitiyak na ang ""Mark form bilang finalized"" ay nasuri din. Ang"" I-Edit ang naka-save na Form "" ay awtomatikong nag-iimbak ng naka-save na form. Ang kolektor ng data ay maaaring gumawa ng mga kinakailangang pagbabago at piliin ang ""I-Save ang Form at Exit.""Ang home screen ay mayroon ding isang pindutan na tinatawag na ""magpadala ng Finalized Form.""Pindutin ang Piliin ang lahat (o piliin ang mga nais mong i-upload) at pagkatapos ay pindutin ang ""Ipadala ang napili.""Piliin ang"" Tingnan ang ipinadala na Form "" upang matiyak na matagumpay na mai-upload ang mga form at dapat mo na ngayong matingnan ang lahat ng mga isinumite na form."
p36,"Ang isang sentral na sistema ng imbakan ng data ay naka-link sa data ng Kobo, at ang mga awtomatikong pagsusuri at mga visualization ay magagamit sa pamamagitan ng isang pamantayang dashboard. Ang Raw data ay nai-back up sa database ng KoboToolbox at magagamit sa pamamagitan ng pag-download o direktang link sa isa pang database o bodega ng data."
translations,Mga salin
p37,"Ang mga pagsasalin para sa lahat ng mga wika ay nakumpleto sa pamamagitan ng pag-edit ng mga sheet ng pagsasalin sa Smartsheet. Kung nalaman mong ang isang pagsasalin ay nangangailangan ng pag-update o mali sa mga survey, mangyaring direktang i-update ang kaukulang pagsasalin sa naaangkop na sheet ng Smartsheet. Kung kailangan ng team ng mga bagong pagsasalin, makakatanggap ang mga partner ng notification mula sa Smartsheet."
ref,Mga File Ng Sanggunian
p38,"Ang mga reference file ay kasosyo o partikular sa bansa at naglalaman ng komprehensibong impormasyon sa mga antas ng administratibo ng mga komunidad ng pangingisda (bansa, lalawigan, distrito, nayon), mga landing site, mangingisda, mamimili, kolektor ng data, data ng species, mga lugar ng pamamahala, mga uri ng tirahan, mga uri ng gear, at mga organisasyon ng pakikipagsosyo. Ang ilang impormasyon ay pumupuno sa mga listahan ng pagbagsak sa mga survey, at ang ilan ay sumali sa master dataset pagkatapos makolekta ang data. Ang bagong impormasyon ay dapat idagdag nang direkta sa mga sheet ng sanggunian."
p39,"Ang mga tiyak, sunud-sunod na mga tagubilin para sa kung paano i-update ang mga file ng sanggunian sa Smartsheet ay matatagpuan sa pahina ng mga file ng sanggunian."
appendixa,Appendix A: Gabay Sa Talakayan Ng Pangkat Ng Pokus
p40,Mahalagang pagsasaalang-alang bago magsagawa ng fisheries profiling o survey
p41,Relasyon at tiwala
p42,"Ang pagbuo ng mga relasyon at pagkakaroon ng tiwala mula sa komunidad ay isang mahalagang paunang hakbang bago magtanong tungkol sa impormasyon sa pangisdaan. Ang unang hakbang sa pagbuo ng mga ugnayan at pagkakaroon ng tiwala sa pamayanan ay ang pagpapakilala sa iyong sarili, iyong samahan, at ang layunin ng pagsasagawa ng profiling ng pangisdaan."
