key,id
level2,Level 2-Berbagi dengan Kontributor Data Lainnya
point40,Data tingkat trip (perjalanan penangkapan ikan) tersedia untuk diunduh oleh kontributor data lainnya.
point41,Ringkasan dan visualisasi data akan tersedia untuk kontributor data lainnya.
point42,Data akan dimasukkan dalam analisis regional di dasbor.
level3,Level 3-Berbagi dengan Semua Pengguna
point43,Data tingkat trip (perjalanan penangkapan ikan) tersedia untuk diunduh semua pengguna.
point44,Ringkasan dan visualisasi data akan tersedia untuk semua pengguna.
point45,Data akan dimasukkan dalam analisis regional di dasbor.
point46,Kontributor asli dari data dapat menentukan batasan atau ketentuan penggunaan apa pun yang berlaku untuk semua pengguna.
newdata,Memvalidasi Data Baru dan yang Ditandai
p29,"Dalam survei, beberapa pertanyaan memungkinkan pencacah untuk menambahkan nelayan baru, pembeli, pencacah data, lokasi pendaratan, spesies, atau ""lainnya"". Informasi dari opsi ini adalah data baru dan harus menjalani verifikasi sebelum diteruskan ke kumpulan data akhir, divisualisasikan di dasbor, dan ditambahkan ke file referensi. Ada juga ambang batas yang ditetapkan pada berat, harga, dan panjang suatu spesies, dan jika data yang dikumpulkan di bawah atau di atas ambang batas ini, nilai-nilai ini ditandai untuk ditinjau. Ambang batas berat dan harga ditetapkan oleh mitra dalam min_max_ref. Ambang batas panjang spesies ditetapkan oleh tim menggunakan parameter biologis."
p30,"Semua data yang mengalir melalui sistem data perikanan divalidasi dalam Smartsheet. Salah satu entri baru atau yang ditandai ini dikirim ke tabel validasi di Smartsheet untuk divalidasi oleh tim lapangan. Tabel validasi bersifat mitra spesifik dan dapat diakses melalui permintaan pembaruan yang dikirim ke email Anda atau dengan mengunjungi tautan Tampilan Dinamis yang disediakan untuk Anda. Pimpinan tim lapangan akan diberi tahu melalui email saat data perlu divalidasi dalam tabel. Setelah data diverifikasi dalam tabel validasi, kami akan menambahkan informasi baru ke file referensi dan memberikan koreksi yang diperlukan pada kumpulan data master."
p31,Petunjuk langkah demi langkah khusus tentang cara menyelesaikan validasi data di Smartsheet dapat ditemukan di halaman Validasi Data.
datacol,Pengumpulan Data
p32,"Blue Ventures mengelola semua survei melalui formulir Kobo Toolbox yang dapat dibagikan melalui akun Kobo Toolbox. Anda dapat membuat akun di https://kf.kobotoolbox.org/accounts/signup/. Silakan hubungi tim dengan nama pengguna dan detail akun Anda. Setelah survei dibagikan, akses formulir Kobo melalui aplikasi KoboCollect Android gratis atau melalui formulir web Enketo. Petunjuk terperinci tentang menyiapkan akun Kobo, mengumpulkan data, dan mengirimkan data dapat ditemukan di halaman Penyiapan Kobo. Gunakan kode QR untuk mengonfigurasi semua perangkat setelah menyiapkan ponsel atau tablet pertama secara manual untuk menyiapkan beberapa ponsel atau tablet dalam satu akun pengumpulan data. Pengaturan manual perangkat pertama memerlukan URL server Kobo, nama pengguna, dan kata sandi. URL server Kobo adalah https://kc.kobotoolbox.org. Informasi lebih lanjut tentang pengaturan pengumpulan data dengan Kobo, termasuk cara mengonfigurasi beberapa perangkat pengumpulan data melalui kode QR, dapat ditemukan di https://support.kobotoolbox.org/."
p33,"Setelah Anda mengunduh KoboCollect, buka aplikasi dan masukkan URL server, nama pengguna, dan kata sandi untuk menghubungkan aplikasi KoboCollect Anda ke server KoBoToolbox. Menghubungkan aplikasi KoboCollect ke server KoBoToolbox memungkinkan Anda mengunduh formulir yang disebarkan dari KoBoToolbox ke perangkat seluler Anda dan mengirim data yang dikumpulkan melalui aplikasi kembali ke server. Di layar beranda, pilih ""Unduh Formulir Kosong"". Daftar semua formulir survei yang Anda gunakan akan muncul. Tekan ""Pilih Semua"" agar semua formulir survei dikirim ke aplikasi, atau pilih formulir yang ingin Anda miliki dengan memilihnya secara manual. Kemudian klik ""Terpilih"". Untuk menerapkan survei, pilih ""Isi Formulir Kosong”."
p34,"Meskipun formulir web diperbarui secara otomatis saat versi formulir survei baru tersedia, pengguna harus mengonfigurasi sendiri ""pembaruan otomatis"" di aplikasi. Memperbarui formulir survei di aplikasi secara teratur memastikan penggunaan formulir versi terbaru dan tidak menyebabkan masalah alur data. Anda dapat mengatur pembaruan otomatis di aplikasi dengan membuka ""Pengaturan"" dan ""Manajemen Formulir"". Informasi lebih lanjut tentang cara memperbarui formulir survei secara otomatis di aplikasi dapat ditemukan di halaman Pengaturan Kobo. Penting untuk diperhatikan bahwa koneksi diperlukan agar aplikasi dapat menarik versi formulir survei terbaru, bahkan dengan pengaturan pembaruan otomatis diaktifkan. Oleh karena itu, sarankan pencacah data untuk memiliki koneksi internet sebelum melakukan pekerjaan lapangan sehingga KoboCollect dapat menarik versi terbaru."
p35,"Setelah mengumpulkan data, survei yang dikirimkan melalui formulir web akan dikirimkan secara otomatis ke server setelah pengumpul data menekan tombol ""Kirim"". Data yang dikumpulkan melalui aplikasi KoboCollect pertama kali disimpan di aplikasi dalam  tempat penyimpanan dan kemudian diteruskan ke server. Survei yang telah selesai tetap ditahan sebelum dikirimkan ke server sehingga pencacah data dapat mengedit survei setelah mengumpulkan data, atau jika tidak ada koneksi internet, aplikasi dapat menyimpan survei dan kemudian mengirimkannya ke server setelah memperoleh koneksi internet. Secara khusus, saat survei selesai, pengguna akan menekan ""Simpan formulir dan keluar"", memastikan bahwa ""Tandai formulir sebagai selesai"" juga dicentang. ""Edit Formulir Tersimpan"" secara otomatis menyimpan formulir yang disimpan. Pencacah data dapat membuat perubahan yang diperlukan dan memilih ""Simpan Formulir dan Keluar"". Layar beranda juga memiliki tombol bernama ""Kirim Formulir yang Telah Diselesaikan"". Tekan Pilih Semua (atau pilih yang ingin Anda unggah) lalu tekan ""Kirim yang Dipilih"". Pilih ""Lihat Formulir Terkirim"" untuk memastikan berhasil mengunggah formulir dan Anda sekarang dapat melihat semua formulir yang dikirimkan."
p36,"Sistem penyimpanan data pusat terhubung ke data Kobo, dan analisis serta visualisasi otomatis akan tersedia melalui dasbor standar. Data mentah dicadangkan dalam basis data KoBoToolbox dan akan tersedia melalui unduhan atau tautan langsung ke basis data atau gudang data lain."
translations,Terjemahan
p37,"Terjemahan untuk semua bahasa dilakukan dengan mengedit lembar terjemahan di Smartsheet. Jika Anda menemukan bahwa terjemahan perlu diperbarui atau keliru dalam formulir survei, harap langsung perbarui terjemahan yang sesuai di lembar Smartsheet terkait. Jika tim membutuhkan terjemahan baru, mitra akan menerima pemberitahuan dari Smartsheet."
ref,File Referensi
p38,"File referensi bersifat spesifik mitra atau negara dan berisi informasi lengkap tentang tingkat administrasi komunitas nelayan (negara, provinsi, kabupaten, desa), lokasi pendaratan, nelayan, pembeli, pencacah data, data spesies, wilayah pengelolaan, jenis habitat, jenis alat tangkap, dan organisasi mitra. Beberapa informasi mengisi daftar list jawaban (dropdown list) dalam survei, dan beberapa digabungkan ke kumpulan data master setelah data dikumpulkan. Informasi baru harus ditambahkan langsung ke lembar referensi."
p39,Petunjuk langkah demi langkah khusus tentang cara memperbarui file referensi di Smartsheet dapat ditemukan di halaman File Referensi.
appendixa,Lampiran A: Panduan Diskusi Kelompok Termpumpun
p40,Pertimbangan penting sebelum melakukan profiling perikanan atau survei
p41,Hubungan dan kepercayaan
p42,"Membangun relasi dan mendapatkan kepercayaan dari masyarakat merupakan langkah awal yang penting sebelum menanyakan informasi perikanan. Langkah pertama untuk membangun hubungan dan mendapatkan kepercayaan masyarakat adalah memperkenalkan diri Anda, organisasi Anda, dan tujuan melakukan profiling perikanan."
p43,Persiapan
p44,"Persiapan penting dalam menjalankan setiap metode survei, karena persiapan yang baik akan membuat Anda yakin akan efektivitas setiap metode yang Anda terapkan."
p45,Waktu untuk mengumpulkan informasi
p46,Sesuaikan waktu pelaksanaan setiap metode dengan waktu calon responden atau kelompok masyarakat yang dituju.
p47,Responden
p48,"Memahami calon responden yang akan Anda temui selama pembuatan profil perikanan sangat penting dalam melakukan survei. Kelompok atau individu yang akan mengikuti survei harus menerima pemberitahuan terlebih dahulu. Oleh karena itu, memperkenalkan tokoh masyarakat yang berpengaruh harus menjadi bagian dari pekerjaan pra-survei."
p49,Logistik
p50,Setiap metode memiliki kebutuhan logistik dan material. Pastikan bahwa sumber daya dan peralatan yang dibutuhkan untuk setiap metode pembuatan profil perikanan telah disiapkan.
p51,Daftar kontak orang kunci
p52,Simpan daftar kontak orang kunci di ponsel Anda dan juga miliki versi cetak sebagai cadangan.
p53,Kesehatan dan keselamatan
p54,Pastikan Anda berada dalam kondisi yang baik untuk melakukan profiling perikanan. Bawalah perlengkapan pertolongan pertama yang penting.
p55,Panduan Diskusi Kelompok Terpumpun
p56,"Berikut ini berisi panduan dan rekomendasi untuk melakukan diskusi kelompok terpumpun untuk menangkap informasi profil komunitas. Dianjurkan untuk mengadakan sesi diskusi kelompok terpumpun untuk mendorong dialog, menangkap keragaman pendapat, dan mulai membangun hubungan dengan anggota komunitas yang penting. Namun, jika diskusi kelompok terpumpun tidak memungkinkan, survei profil komunitas dapat dilakukan sebagai wawancara individu dengan pemangku kepentingan utama menggunakan formulir Kobo ""Survei Profil Komunitas"". Secara keseluruhan, tujuan dari pelaksanaan profiling komunitas, baik dalam format kelompok fokus atau wawancara individu, adalah untuk memahami lanskap umum komunitas dan perikanan yang beroperasi di dalam komunitas."
p57,Sebelum melakukan diskusi kelompok terpumpun
p58,"Sebelum menjadi tuan rumah diskusi kelompok terpumpun secara formal terkait profil perikanan, disarankan untuk melakukan percakapan informal dan observasi partisipan. Metode ini berarti meluangkan waktu, membangun relasi, dan memahami perikanan dengan menggunakan percakapan informal dan observasi partisipan."
p59,"Percakapan informal penting untuk lebih memahami konteks perikanan secara umum sebelum melakukan diskusi kelompok terfokus. Gunakan metode ini sebagai salah satu titik tolak untuk merumuskan isi focus group discussion. Metode ini akan memungkinkan Anda untuk mengenal komunitas perikanan, mulai membangun hubungan, dan mendapatkan kepercayaan."
p60,Kiat yang disarankan untuk melakukan percakapan informal:
tip1,"Hormati perbedaan budaya. Patuhi norma-norma sosial seperti sapaan yang dapat diterima, aturan berpakaian, dan menghormati praktik keagamaan. Bersikaplah sopan, rendah hati, dan dengarkan pendapat pemangku kepentingan tanpa memaksakan pendapat Anda sendiri. Tetap berada dalam komunitas, membangun hubungan baik, dan berbagi makanan dapat membantu membangun kepercayaan."
tip2,"Habiskan waktu bersama para pemangku kepentingan. Tidak ada jalan pintas untuk mendapatkan kepercayaan dan dukungan. Apalagi di dalam komunitas itu bagus untuk dilihat, menghabiskan waktu di desa-desa dan bertemu orang-orang. Bersiaplah untuk membahas isu-isu yang lebih luas di dalam komunitas. Jangan mencoba memaksakan satu agenda tertentu."
tip3,"Gunakan bahasa lokal jika memungkinkan, kecuali jika bahasa umum dapat diakses. Jika tidak, gunakan penerjemah. Berhati-hatilah terhadap kesalahan dalam penerjemahan. Pemeriksaan silang terjemahan antara lebih dari satu juru bahasa dapat membantu mengurangi salah tafsir."
tip4,"Jangan membuat janji yang tidak bisa ditepati. Jelaskan tujuan dan hasil yang diharapkan tanpa meningkatkan ekspektasi. Hal ini penting untuk ditegaskan sejak dini agar masyarakat memiliki pemahaman yang jelas tentang peran mitra teknis, yaitu memfasilitasi penutupan perikanan gurita, bukan menggali sumur atau memperbaiki sekolah. Penting untuk memastikan semua orang mengetahui apa yang dapat dan tidak dapat dilakukan organisasi dalam komunitas. Memastikan ekspektasi yang realistis membantu meminimalkan kekecewaan, keluhan, dan konflik saat proyek berlangsung."
tip5,Komunikasikan rencana dan kegiatan secara luas. Pastikan setiap pertemuan atau kegiatan direncanakan jauh-jauh hari dan pada waktu serta lokasi yang disepakati bersama untuk memaksimalkan kehadiran. Pastikan setiap perubahan dalam rencana dan kegiatan dikomunikasikan sedini mungkin. Tepat waktu dan berpegang teguh pada kesepakatan membantu membangun kepercayaan dan kepercayaan di antara para pemangku kepentingan.
tip6,Selalu akui pemangku kepentingan dalam keluaran proyek seperti laporan dan rilis media dalam rapat pemangku kepentingan dan presentasi eksternal. Sadarilah 'kepemilikan' informasi dan hormati kerahasiaan dan privasi.
