key,pt
fig5,Figura 5: o comprimento do manto deve ser utilizado na medição de polvos e lulas (FAO).
fig6,Figura 6: O comprimento da carapaça deve ser utilizado na medição do camarão e da lagosta (Hart et al. 2001).
fig7,Figura 7: o comprimento deve ser utilizado na medição dos bivalves e gastrópodes.
fig8,Figura 8: o comprimento Total deve ser utilizado na medição dos pepinos-do-mar. A largura ou o diâmetro de ensaio devem ser utilizados na medição dos ouriços-do-mar.
dfo,Visão Geral Do Fluxo De Dados
p15,"A recolha, validação, transformação e visualização de dados são os quatro principais componentes do data system. As principais aplicações de software utilizadas são KoboToolBox, Smartsheet, PostgreSQL e R."
p16,"KoboToolBox é um software livre e de código aberto que é um poderoso kit de ferramentas para coleta de dados acessível através de ambientes desafiadores e múltiplas plataformas, como dispositivos móveis, computadores e papel. Os enumeradores recolhem dados sobre as condições socioeconómicas e ecológicas essenciais para avaliar as comunidades e o estatuto das pescas através dos questionários KoboToolBox survey. O Smartsheet é uma plataforma colaborativa de gestão do trabalho que fornece uma interface flexível e intuitiva para as organizações planearem, acompanharem, automatizarem e gerirem vários projetos e processos em tempo real. Os ficheiros de referência utilizados para preencher formulários de inquérito e ligar dados adicionais aos conjuntos de dados principais são geridos no Smartsheet. Além disso, os dados são validados no Smartsheet. O PostgreSQL é um sistema de gerenciamento de banco de dados gratuito e de código aberto usado como um data warehouse para inúmeras aplicações web, analíticas e geoespaciais, armazenando dados não estruturados e estruturados em um único produto. R é um ambiente de software livre e de código aberto e linguagem de programação amplamente utilizada para ciência de dados, computação estatística e visualização de dados. Os painéis de dados são construídos usando o pacote Shiny da linguagem de Programação R e hospedados em shinyapps.io, uma plataforma como serviço (PaaS) para hospedar aplicativos da Web brilhantes (aplicativos)."
fig9,Figura 9: Diagrama de fluxo de dados.
p17,"A recolha de dados envolve a recolha e medição sistemática de informações de fontes relevantes sobre variáveis de interesse para a tomada de decisões, planeamento estratégico, avaliações de resultados e outros fins. Ao incorporar dados quantitativos e qualitativos nos questionários do inquérito, desenvolvemos uma compreensão mais aprofundada das condições socioeconómicas e ecológicas pertinentes para as comunidades pesqueiras e estratégias de gestão adaptativa. A validação de dados refere-se à aplicação de métodos para medir as condições dos dados recolhidos e determinar se os dados recolhidos satisfazem os critérios de qualidade definidos, tais como precisão, consistência, relevância, completude e exclusividade. A transformação de dados converte, limpa e estrutura dados brutos em um formato utilizável que pode ser analisado e avaliado para a tomada de decisões. A análise e visualização de dados envolve a concepção e criação de gráficos acessíveis ou exibições visuais de informações para comunicar eficazmente os dados qualitativos e quantitativos complexos previamente recolhidos, verificados e transformados entre os públicos-alvo. Descrevemos o processo de fluxo de dados abaixo:"
step1,Os dados são recolhidos através de formulários de inquérito KoboToolBox.
step2,Os dados são extraídos para a base de dados.
step3,"Se o enumerador selecionou opções de resposta pré-preenchidas em inquéritos, os dados não precisam de ser validados e podem passar diretamente para o processo de análise e visualização dos dados."
step4,"Se o enumerador inserir dados manualmente, como um novo pescador, comprador, coletor de dados, local de pouso ou espécie, os dados serão verificados no Smartsheet antes de serem incluídos na tabela de dados final e visualizados no painel. Os líderes das equipas de campo são notificados por e-mail quando os dados estão prontos para validação. Os líderes de equipa verificarão manualmente as tabelas de controlo de qualidade para confirmar que as informações recentemente adicionadas são válidas."
step5,"Após a validação, novos dados são enviados para os arquivos de referência e de volta ao banco de dados para transformação final antes da análise e visualização."
step6,"Assim que os dados forem enviados para os ficheiros de referência, os responsáveis da equipa serão notificados por e-mail se forem necessárias informações adicionais nos ficheiros de referência."
step7,Os ficheiros de referência actualizados são então carregados na plataforma KoboToolBox para inclusão nos formulários.
step8,"Os dados actualizados dos ficheiros de referência são também utilizados no processo de transformação de dados para juntar campos de dados adicionais, como coordenadas e género."
step9,As etapas finais do processo de transformação de dados resultam em tabelas de dados mestre que são usadas para análise e visualização de dados nos painéis de dados.
step10,"Os painéis de dados (ou seja, aplicações brilhantes) ligam-se directamente à base de dados, obtendo os dados mais actualizados disponíveis, proporcionando assim aos parceiros um acesso quase imediato a dados brutos e resumidos."
datasecurity,Segurança Dos Dados
p18,Segue-se uma lista de plataformas de software em que os dados podem ser armazenados e movidos em trânsito a partir da base de dados. As informações sobre a segurança dos dados de cada plataforma externa estão disponíveis no sítio Web específico da plataforma ligado aqui.
p19,"Foram implementados procedimentos suplementares de segurança, para além das medidas de segurança de dados disponibilizadas pelas plataformas de software acima referidas. Todas as contas em todas as plataformas de software utilizadas estão protegidas por palavra-passe."
p20,"Usamos o Github como nosso sistema de controle de versão para produtos codificados. Por defeito, todos os dossiers e projectos com dados de pesca e socioeconómicos são privados e apenas acessíveis ao pessoal e empreiteiros."
p21,"A partir de quaisquer plataformas de dados partilhados (por exemplo, aplicações Shiny), a autenticação do utilizador é necessária para visualizar ou descarregar dados, dependendo do Acordo de partilha de dados escolhido por cada organização parceira. Isso inclui a verificação dos usuários antes de permitir que os dados sejam visualizados ou baixados, Os usuários que fazem login em plataformas de visualização de dados e o gerenciamento regular de usuários verificados."
p22,"O acesso aos documentos do Smartsheet (por exemplo, ficheiros de referência, folhas de validação de dados) é restrito ao pessoal identificado por cada organização, e cada parceiro só pode visualizar as suas próprias informações específicas do parceiro. As excepções incluem a equipa que controla e presta assistência com fluxos de trabalho de qualidade de dados e a equipa da Blue Ventures que presta assistência aos parceiros com fluxos de trabalho de informação no Smartsheet."
dp,Privacidade Dos Dados
p24,"As informações pessoais identificáveis (PII) e os dados relativos às capturas de pesca são propriedade de pescadores e compradores de peixe e nunca serão partilhados sem o consentimento prévio. Para proteger a privacidade da fisher, dos compradores e dos coletores de dados, todos os nomes são anonimizados em números de identificação aleatórios. Por conseguinte, todos os dados parcial ou totalmente disponíveis ao público incluirão apenas os números de identificação numéricos aleatórios. Consulte a secção sobre partilha de dados para obter uma explicação completa dos acordos de partilha de dados."
p25,Os dados considerados PII incluem:
point34,"Nomes dos Pescadores, compradores e colectores de dados"
point35,Nomes dos inquiridos para quaisquer inquéritos
datasharing,Partilha De Dados
p26,"O fisheries data system foi concebido para simplificar a utilização dos seus dados e fornecer uma plataforma para o seu envolvimento ativo em esforços mais amplos de gestão e conservação das pescas. Os dados agregados recolhidos de forma colaborativa entre os parceiros podem fornecer informações poderosas para monitorizar a pesca, avaliar estratégias de gestão, orientar a tomada de decisões a nível local e nacional, compreender as mudanças regionais e identificar potenciais serviços financeiros."
p27,"Reconhecemos a importância crítica da propriedade e utilização dos dados para todos os parceiros contribuintes. O nosso objectivo é proporcionar-lhe flexibilidade na gestão e determinação da forma como os seus dados são utilizados. Ao selecionar um dos três níveis de permissão de uso de dados, você pode regular até que ponto seus dados são compartilhados com outros usuários. Você pode adaptar os níveis de permissão com base nos tipos de dados e, mais importante, você tem a liberdade de ajustar seu nível de permissão de dados a qualquer momento. As informações pessoais identificáveis (PII) e os dados relativos às capturas de pesca são propriedade de pescadores e compradores de peixe e nunca serão partilhados sem o consentimento prévio. Ao escolher um nível de autorização de utilização de dados, confirma que foram obtidas autorizações individuais tanto de pescadores como de compradores de peixe."
p28,Todos os dados estão actualmente definidos para o Nível 1 - Privado. Os usuários terão a oportunidade de ajustar seus níveis de permissão conforme necessário.
level1,Nível 1-Privado
point36,Os dados são estritamente para fins internos do Contribuinte de dados original.
point37,Os dados estarão disponíveis para download pelo contribuinte de dados original.
point38,Os dados não serão incluídos nas análises regionais fornecidas no painel.
point39,A partilha ou distribuição não autorizada dos dados a terceiros é estritamente proibida.
level2,Nível 2-Partilha com outros contribuintes de dados
point40,Os dados de nível de viagem estão disponíveis para download por outros contribuintes de dados.
point41,Resumos e visualizações de dados estarão disponíveis para outros contribuidores de dados.
point42,Os dados serão incluídos nas análises regionais no painel.
level3,Nível 3-partilhar com todos os utilizadores
point43,Os dados de nível de viagem estão disponíveis para download por todos os utilizadores.
point44,Resumos e visualizações de dados estarão disponíveis para todos os utilizadores.
point45,Os dados serão incluídos nas análises regionais no painel.
point46,O contribuinte dos dados originais pode especificar quaisquer limitações ou condições de Utilização aplicáveis a todos os utilizadores.
newdata,Validação de dados novos e sinalizados
p29,"Nas pesquisas, algumas perguntas permitem que os enumeradores adicionem um novo pescador, comprador, coletor de dados, local de pouso, espécie ou ""outro.""As informações dessas opções são novos pontos de dados e devem passar por verificação antes de serem enviadas para o conjunto de dados final, visualizadas no painel e adicionadas aos arquivos de referência. Existem também restrições relativas ao peso, preço e comprimento de uma espécie e, se os dados recolhidos forem inferiores ou superiores a essas restrições, esses valores são sinalizados para revisão. As restrições relativas ao peso e ao preço são definidas pelos parceiros no min_max_ref. As restrições de comprimento das espécies são definidas pela equipa utilizando parâmetros biológicos."
p30,"Todos os dados que fluem através do sistema de dados das pescas são validados no Smartsheet. Qualquer uma dessas entradas novas ou sinalizadas é enviada para a tabela de validação no Smartsheet para que as equipes de campo validem. As tabelas de controlo de qualidade são específicas do parceiro e podem ser acedidas através de pedidos de atualização enviados para o seu e-mail ou visitando as ligações de visualização dinâmica que lhe são fornecidas. Os líderes da equipa de campo serão notificados por e-mail quando os dados precisarem de ser validados nas tabelas. Uma vez verificados os dados nas tabelas de validação, acrescentaremos novas informações ao ficheiro de referência e forneceremos as correcções necessárias ao conjunto de dados principal."
p31,Instruções passo a passo específicas sobre como concluir a validação de dados no Smartsheet podem ser encontradas na página validação de dados.
datacol,Recolha De Dados
p32,"A Blue Ventures administra todos os inquéritos através de formulários Kobo Toolbox partilháveis através de uma conta Kobo Toolbox. Pode configurar uma conta em https://kf.kobotoolbox.org/accounts/signup/. entre em contato com a equipe com seu nome de usuário e detalhes da conta. Uma vez partilhados os inquéritos, aceda aos formulários Kobo através da aplicação móvel KoboCollect free para Android ou através do formulário Web Enketo. Instruções detalhadas sobre a criação de uma conta Kobo, recolha de dados e apresentação de dados podem ser encontradas na página de configuração da Kobo. Use um código QR para configurar todos os dispositivos depois de configurar manualmente o primeiro telefone ou tablet para configurar vários telefones ou tablets em uma conta de coleta de dados. A configuração Manual do primeiro dispositivo requer o URL do servidor Kobo, o nome de utilizador e a palavra-passe. O URL do servidor Kobo é https://kc.kobotoolbox.org. mais informações sobre como configurar a recolha de dados com a Kobo, incluindo como configurar vários dispositivos de recolha de dados através de um código QR, podem ser encontradas em https://support.kobotoolbox.org/."
p33,"Depois de ter descarregado o KoboCollect, abra a aplicação e introduza o URL do servidor, o nome de utilizador e a palavra-passe para ligar a aplicação KoboCollect ao servidor KoboToolbox. A ligação da aplicação KoboCollect ao servidor KoboToolbox permite-lhe transferir formulários implantados da KoboToolbox para o seu dispositivo móvel e enviar os dados recolhidos através da aplicação de volta para o servidor. Na tela inicial, selecione "" Obter Formulário em branco.""Uma lista de todos os seus formulários de pesquisa implantados deve aparecer. Pressione ""Selecionar tudo"" para que todos os formulários de pesquisa sejam enviados para o aplicativo ou selecione os que deseja, selecionando-os manualmente. Em seguida, clique em "" obter selecionado.""Para implementar o inquérito, selecione"" Preencher formulário em branco.”"
p34,"Embora o formulário Web seja atualizado automaticamente quando uma nova versão do questionário estiver disponível, os usuários devem configurar a ""atualização automática"" no aplicativo. A atualização regular das pesquisas no aplicativo garante o uso da versão mais recente do formulário e não causa problemas no pipeline de dados. Você pode configurar a atualização automática no aplicativo acessando"" Configurações ""e"" gerenciamento de formulários.""Mais informações sobre a atualização automática de inquéritos na aplicação podem ser encontradas na página de configuração da Kobo. É importante observar que é necessária uma conexão para que o aplicativo Obtenha a versão de pesquisa mais recente, mesmo com as configurações de atualização automática ativadas. Portanto, aconselhe os enumeradores a ter uma conexão com a internet antes de realizar o trabalho de campo para que o KoboCollect possa obter a versão mais recente."
p35,"Após a recolha dos dados, os inquéritos enviados através do formulário web serão automaticamente enviados ao servidor assim que o coletor de dados clicar no botão ""enviar"". Os dados recolhidos através da aplicação KoboCollect são primeiro guardados na aplicação num local de retenção e, em seguida, enviados para o servidor. As pesquisas concluídas permanecem em espera antes de serem enviadas ao servidor para que os coletores de dados possam fazer edições de pesquisa após a coleta de dados ou, se não houver conexão com a internet, o aplicativo pode salvar as pesquisas e, em seguida, enviar as pesquisas para o servidor assim que houver conectividade com a internet. Especificamente, quando a pesquisa estiver concluída, o usuário clicará em ""Salvar formulário e sair"", garantindo que ""marcar formulário como finalizado"" também seja verificado. ""Editar formulário salvo"" armazena automaticamente o formulário salvo. O coletor de dados pode fazer as alterações necessárias e selecionar "" Salvar formulário e sair.""A tela inicial também possui um botão chamado ""Enviar formulário finalizado.""Pressione Selecionar tudo (ou selecione os que deseja carregar) e, em seguida, pressione ""Enviar selecionado.""Selecione"" Visualizar formulário enviado "" para garantir o carregamento bem-sucedido dos formulários e agora você poderá visualizar todos os formulários enviados."
p36,Um sistema central de armazenamento de dados liga-se aos dados Kobo e as análises e visualizações automatizadas estarão disponíveis através de um painel normalizado. Os dados brutos são armazenados em cópia de segurança na Base de dados KoboToolbox e estarão disponíveis através de transferência ou ligação directa a outra base de dados ou armazém de dados.
translations,Traduções
p37,"As traduções para todos os idiomas são concluídas editando as folhas de tradução no Smartsheet. Se você achar que uma tradução precisa ser atualizada ou está errada nas pesquisas, atualize diretamente a tradução correspondente na folha apropriada do Smartsheet. Caso a equipa necessite de novas traduções, os parceiros receberão uma notificação Smartsheet."
ref,Ficheiros De Referência
p38,"Os ficheiros de referência são parceiros ou específicos de cada país e contêm informações completas sobre os níveis administrativos das comunidades piscatórias (País, Província, Distrito, Aldeia), locais de desembarque, pescadores, compradores, coletores de dados, dados de espécies, áreas de gestão, tipos de habitats, tipos de artes e organizações parceiras. Algumas informações preenchem as listas suspensas nos inquéritos e algumas são associadas ao conjunto de dados mestre após a recolha dos dados. Novas informações devem ser acrescentadas directamente às folhas de referência."
p39,Instruções passo a passo específicas sobre como atualizar arquivos de referência no Smartsheet podem ser encontradas na página Arquivos de referência.
appendixa,Apêndice A: Guia De Discussão Dos Grupos Focais
p40,Considerações importantes antes da realização de perfis ou inquéritos sobre a pesca
p41,Relação e confiança
p42,"Construir relações e conquistar a confiança da Comunidade é um passo inicial Importante Antes de se perguntar sobre a informação sobre as pescas. O primeiro passo para construir relacionamentos e ganhar a confiança da Comunidade é apresentar a si mesmo, à sua organização e ao propósito de realizar perfis de pesca."
p43,Preparação
p44,"A preparação é importante na realização de cada método de inquérito, uma vez que uma boa preparação lhe dará confiança na eficácia de cada método que aplicar."
p45,Tempo de recolha de informações
p46,Ajustar o tempo de condução de cada método ao tempo do potencial entrevistado ou do grupo comunitário visado.
p47,Respondente
p48,"Compreender os potenciais inquiridos que irá encontrar durante a definição de perfis das pescas é crucial para a realização de inquéritos. Os grupos ou indivíduos que participarão no inquérito devem receber uma notificação prévia. Por conseguinte, a introdução de líderes comunitários influentes deve fazer parte do trabalho de pré-inquérito."
p49,Logística
p50,Cada método tem necessidades logísticas e materiais. Certificar-se de que foram preparados os recursos e o equipamento necessários para cada método de perfilamento das pescas.
p51,Lista de contactos da pessoa-chave
p52,Salve uma lista de contatos de pessoas-chave em seu telefone e também tenha uma versão impressa para backup.
p53,Saúde e segurança
p54,Certifique-se de que está em boas condições para realizar a definição de perfis de pesca. Traga um kit de Primeiros Socorros essencial.
p55,Orientação Para Discussão Em Grupos Focais
p56,"A seguir, contém orientações e recomendações sobre a realização de um grupo focal para capturar informações de perfil da comunidade. Recomenda-se a realização de uma sessão de grupo focal para incentivar o diálogo, captar uma diversidade de opiniões e começar a construir relações com membros importantes da comunidade. No entanto, no caso de um grupo focal não ser viável, o inquérito comunitário sobre a definição de perfis pode ser realizado como entrevistas individuais com partes interessadas importantes, utilizando o formulário Kobo ""inquérito comunitário sobre a definição de perfis"". De um modo geral, o objectivo do exercício comunitário de definição de perfis, quer em grupo focal quer em formato de entrevista individual, é compreender o panorama geral da comunidade e as pescas que operam na comunidade."
p57,Antes da realização de um grupo focal
p58,"Antes de sediar um grupo focal formal de definição de perfis das pescas, recomenda-se a realização de conversações informais e a observação participante. Este método significa gastar tempo, construir relacionamentos e compreender a pesca usando conversas informais e observação participante."
p59,"Uma conversa Informal é importante para compreender melhor o contexto geral das pescas antes de realizar uma discussão em grupo focal. Utilizar este método como um dos pontos de partida para formular o conteúdo do debate em grupo focal. Este método permitirá conhecer a comunidade pesqueira, começar a construir relações e ganhar confiança."
p60,Dicas recomendadas para conduzir conversas informais:
tip1,"Respeite as diferenças culturais. Observe as normas sociais, como saudações aceitáveis, códigos de vestimenta e respeite as práticas religiosas. Seja educado, humilde e ouça as opiniões das partes interessadas sem impor as suas. Permanecer dentro de uma comunidade, construir um relacionamento e compartilhar refeições pode ajudar a construir confiança."
tip2,"Passar tempo com as partes interessadas. Não há atalho para ganhar confiança e apoio. Especialmente nas comunidades, é bom ser visto, passar tempo nas aldeias e conhecer pessoas. Esteja preparado para discutir as questões mais amplas na comunidade. Não tente empurrar uma agenda específica."
tip3,"Utilizar a língua local, se possível, a menos que uma língua comum esteja acessível. Caso contrário, use um intérprete. Esteja atento aos erros de tradução. A verificação cruzada da tradução entre mais do que um intérprete pode ajudar a reduzir a má interpretação."
tip4,"Não faça promessas que não possam ser cumpridas. Seja claro sobre os objetivos e os resultados esperados sem aumentar as expectativas. É importante sublinhar isto desde o início, para que as comunidades tenham uma compreensão clara do papel do parceiro técnico, ou seja, para facilitar o encerramento da pesca do polvo, não para cavar poços ou reparar escolas. É importante garantir que todos estejam cientes do que a organização pode ou não fazer na comunidade. Garantir expectativas realistas ajuda a minimizar decepções, reclamações e conflitos à medida que o projeto avança."
tip5,Comunicar amplamente os planos e as actividades. Garantir que quaisquer reuniões ou atividades sejam planeadas com antecedência e em horários e locais mutuamente acordados para maximizar a participação. Assegurar que quaisquer alterações nos planos e actividades sejam comunicadas o mais cedo possível. Chegar a tempo e aderir a acordos ajuda a criar confiança entre as partes interessadas.
tip6,"Reconhecer sempre as partes interessadas nos resultados dos projetos, tais como relatórios e comunicados de imprensa, nas reuniões das partes interessadas e nas apresentações externas. Estar ciente da 'propriedade' da informação e respeitar a confidencialidade e a privacidade."
p61,"Compreender melhor o panorama das partes interessadas na comunidade é um objectivo crucial na condução de conversas informais e na observação participante. As partes interessadas afetam ou podem ser afetadas pelas ações de uma organização. O seu apoio é essencial para o sucesso de uma organização na implementação de planos de gestão das pescas. Ao compreender melhor as partes interessadas, identificará eficazmente as partes interessadas envolvidas na futura monitorização das pescas para a gestão das pescas na sua área."
examples,Exemplos de tipos de partes interessadas a incluir:
example1,Pescadores
example2,Chefe da aldeia
example3,Líderes religiosos / religiosos
example4,Chefe de Distrito
example5,Agente Comunitário de saúde/profissional de saúde
example6,Aldeia comprador / fornecedor
example7,Fábrica de transformação
example8,Mulheres na aldeia / esposas de pescadores
p62,Informações a recolher sobre as partes interessadas:
point47,"Informações sobre as principais partes interessadas e suas posições em relação aos objetivos de uma entidade (grau de apoio, poder, etc.). Estas informações podem ser utilizadas para identificar as partes interessadas a incluir no grupo focal de definição de perfis da comunidade."
p63,"Depois de conduzir conversas informais, o próximo passo que você pode fazer é a observação participante. A observação é um método que permite que você use os eventos ao seu redor para reunir pistas e gerar conclusões sobre locais ou experiências específicas, observando um dia na vila de pescadores. Este método é necessário para reunir provas a partir das informações fornecidas em conversas informais. Este método permite compreender as actividades quotidianas da aldeia piscatória."
p64,Procedimentos Dos Grupos Focais
2a,Organização do grupo focal
2a.1,"É importante manter boas relações com as comunidades-alvo. Por conseguinte, sempre que possível, as aldeias devem ser informadas do programa para a reunião do grupo focal com pelo menos duas semanas de antecedência."
2a.2,"Se a aldeia tiver uma recepção de telemóvel, ligue para o chefe da aldeia ou para outro(s) contacto (s) local (s)."
2a.3,"Se a aldeia não tiver recepção de telemóvel, faça uma visita à aldeia para se encontrar com o chefe da aldeia ou outro(s) contacto (s) local (s)."
2a.4,"Durante este telefonema ou visita ao presidente da aldeia ou a outro(s) contacto (s) local (s), explique o seguinte:"
2a.4.1,Objectivo da reunião
2a.4.2,Local da reunião
2a.4.3,Data e hora da reunião
2a.4.4,Método de informação dos participantes da reunião
2a.4.5,Número de participantes
2a.4.5.1,Todos os aldeões ou pessoas especiais com base nos melhores pescadores (2)
2a.4.5.2,Pescadores mais frequentes (2)
2a.4.5.3,Pescadores que frequentam muitos locais de pesca diferentes (2)
2a.4.5.4,"Pescadores respeitados, de preferência com experiência em cartografia (2)"
2a.5,"Mulheres-verifique com o chefe da aldeia se o grupo focal pode ocorrer com ambos os sexos presentes juntos com antecedência, como em algumas áreas, isso nem sempre é possível."
2a.6,"Tente evitar a realização da(s) Reunião (s) durante as marés de primavera/época alta de pesca, uma vez que muitos dos Pescadores requeridos provavelmente estarão ocupados a pescar."
2a.7,Certifique-se de verificar os cronogramas de outros projetos que possam estar trabalhando na mesma área ao mesmo tempo para evitar confrontos.
2b,Equipa do grupo focal
p65,"A seguir estão as funções recomendadas para a equipe que lidera o grupo focal. No mínimo, um grupo focal deve ter um facilitador e um anotador."
p66,Facilitador principal: lidera e modera a reunião
2b.1,Apresenta a reunião
2b.2,Facilita o evento
2b.3,Modera o processo
2b.4,Actua como catalisador entre os indivíduos do grupo
