key,fr
p17,"La collecte de données implique la collecte et la mesure systématiques d'informations provenant de sources pertinentes sur les variables d'intérêt pour la prise de décision, la planification stratégique, les évaluations des résultats et à d'autres fins. En incorporant des données quantitatives et qualitatives dans les questionnaires d'enquête, nous développons une compréhension plus approfondie des conditions économiques et écologiques associées aux communautés de pêcheurs et aux stratégies de gestion changeantes. La validation des données fait référence à l'application de méthodes pour mesurer les conditions des données collectées et déterminer si les données collectées répondent aux critères de qualité définis, tels que l'exactitude, la cohérence, la pertinence, l'exhaustivité et l'unicité. La transformation des données convertit, nettoie et structure les données brutes en un format utilisable qui peut être analysé et évalué pour la prise de décision. L'analyse et la visualisation des données impliquent la conception et la création de graphiques accessibles ou d'affichages visuels d'informations pour communiquer efficacement les données qualitatives et quantitatives complexes précédemment collectées, vérifiées et transformées à travers les publics cibles. Nous avons décrit le processus de flux de données ci-dessous:"
step1,Les données sont collectées via les formulaires d'enquête KoboToolBox.
step2,Les données sont extraites dans la base de données.
step3,"Si l'enquêteur a sélectionné des choix de réponses préremplis dans les enquêtes, les données n'ont pas besoin d'être validées et peuvent passer directement au processus d'analyse et de visualisation des données."
step4,"Si l'enquêteur saisit manuellement des données telles qu'un nouveau pêcheur, un acheteur, un collecteur de données, un site de débarquement ou une espèce, les données sont vérifiées dans Smartsheet avant d'être incluses dans le tableau de données final et visualisées dans le tableau de bord. Les chefs d'équipe sur le terrain sont informés par e-mail lorsque les données sont prêtes pour la validation. Les chefs d'équipe vérifieront manuellement les tableaux de contrôle de la qualité pour confirmer que les informations nouvellement ajoutées sont valides."
step5,"Après validation, les nouvelles données sont envoyées à la fois aux fichiers de référence et à la base de données pour une transformation finale avant analyse et visualisation."
step6,"Une fois les données envoyées aux fichiers de référence, les chefs d'équipe seront informés par e-mail si des informations supplémentaires sont nécessaires dans les fichiers de référence."
step7,Les fichiers de référence mis à jour sont ensuite téléchargés sur la plateforme KoboToolBox pour être inclus dans les formulaires.
step8,Les données mises à jour des fichiers de référence sont également utilisées dans le processus de transformation des données pour joindre des champs de données supplémentaires tels que les coordonnées et le sexe.
step9,Les dernières étapes du processus de transformation des données aboutissent à des tableaux de données maîtres qui sont utilisés pour l'analyse et la visualisation des données dans les tableaux de bord de données.
step10,"Les tableaux de bord de données (c'est-à-dire les applications brillantes) se connectent directement à la base de données, extrayant les données les plus à jour disponibles, offrant ainsi aux partenaires un accès quasi immédiat aux données brutes et résumées."
datasecurity,Sécurité des Données
p18,Vous trouverez ci-dessous une liste de plates-formes logicielles sur lesquelles les données peuvent être stockées et déplacées en transit à partir de la base de données. Les informations sur la sécurité des données pour chaque plate-forme externe sont disponibles sur le site Web spécifique à la plate-forme lié ici.
p19,"Des procédures de sécurité supplémentaires ont été mises en œuvre, en plus des mesures de sécurité des données fournies par les plateformes logicielles susmentionnées. Tous les comptes sur toutes les plateformes logicielles utilisées sont protégés par un mot de passe."
p20,"Nous utilisons Github comme système de contrôle de version pour les produits codés. Par défaut, tous les dossiers et projets contenant des données sur la pêche et les données socio-économiques sont privés et uniquement accessibles au personnel et aux entrepreneurs."
p21,"À partir de n'importe quelle plate-forme de données partagées (par exemple, les applications Shiny), l'authentification de l'utilisateur est requise pour afficher ou télécharger des données, en fonction de l'accord de partage de données choisi par chaque organisation partenaire. Cela inclut la vérification des utilisateurs avant d'autoriser la visualisation ou le téléchargement des données, la connexion des utilisateurs aux plates-formes de visualisation des données et la gestion régulière des utilisateurs vérifiés."
p22,"L'accès aux documents Smartsheet (par exemple, les fichiers de référence, les fiches de validation des données) est limité au personnel identifié par chaque organisation, et chaque partenaire ne peut consulter que ses propres informations spécifiques au partenaire. Les exceptions à cela incluent le personnel qui contrôle et assiste les flux de travail de qualité des données, et le personnel de Blue Ventures qui aide les partenaires avec les flux de travail d'information dans Smartsheet."
dp,Confidentialité des Données
p24,"Les informations personnelles identifiables (IPI) et les données sur les prises de pêche appartiennent aux pêcheurs et aux acheteurs de poisson et ne seront jamais partagées sans consentement préalable. Pour protéger la vie privée des pêcheurs, des acheteurs et des collecteurs de données, tous les noms sont anonymisés en numéros d'identification aléatoires. Par conséquent, toutes les données partiellement ou entièrement accessibles au public n'incluront que les numéros d'identification numériques aléatoires. Voir la section sur le partage de données pour une explication complète des accords de partage de données."
p25,Les données considérées comme des IPI comprennent:
point34,"Noms des pêcheurs, des acheteurs et des collecteurs de données"
point35,Noms des répondants pour toutes les enquêtes
datasharing,Partage des Données
p26,"Le système de données sur les pêches est conçu pour rationaliser l'utilisation de vos données et fournir une plate-forme pour votre engagement actif dans des efforts plus larges de gestion et de conservation des pêches. Les données agrégées recueillies en collaboration entre les partenaires peuvent fournir des informations puissantes pour surveiller la pêche, évaluer les stratégies de gestion, guider la prise de décision aux niveaux local et national, comprendre les changements régionaux et identifier les services financiers potentiels."
p27,"Nous reconnaissons l'importance cruciale de la propriété et de l'utilisation des données pour tous les partenaires contributeurs. Notre objectif est de vous offrir une flexibilité dans la gestion et la détermination de la manière dont vos données sont utilisées. En sélectionnant l'un des trois niveaux d'autorisation d'utilisation des données, vous pouvez réguler la mesure dans laquelle vos données sont partagées avec d'autres utilisateurs. Vous pouvez personnaliser les niveaux d'autorisation en fonction des types de données et, surtout, vous avez la liberté d'ajuster votre niveau d'autorisation de données à tout moment. Les informations personnelles identifiables (IPI) et les données sur les prises de pêche appartiennent aux pêcheurs et aux acheteurs de poisson et ne seront jamais partagées sans consentement préalable. En choisissant un niveau d'autorisation d'utilisation des données, vous confirmez que des autorisations individuelles ont été obtenues à la fois des pêcheurs et des acheteurs de poisson."
p28,Toutes les données sont actuellement définies sur le niveau 1-Privé. Les utilisateurs auront la possibilité d'ajuster leurs niveaux d'autorisation au besoin.
level1,Niveau 1-Privé
point36,Les données sont strictement destinées aux fins internes du contributeur de données d'origine.
point37,Les données pourront être téléchargées par le contributeur de données d'origine.
point38,Les données ne seront pas incluses dans les analyses régionales fournies sur le tableau de bord.
point39,Le partage ou la distribution non autorisés des données à des parties externes est strictement interdit.
level2,Niveau 2-Partager avec d'autres contributeurs de données
point40,Les données au niveau du trajet sont disponibles pour téléchargement par d'autres contributeurs de données.
point41,Des résumés de données et des visualisations seront disponibles pour les autres contributeurs de données.
point42,Les données seront incluses dans les analyses régionales sur le tableau de bord.
level3,Niveau 3-Partager avec tous les utilisateurs
point43,Les données de niveau de trajet sont disponibles pour tous les utilisateurs à télécharger.
point44,Des résumés de données et des visualisations seront disponibles pour tous les utilisateurs.
point45,Les données seront incluses dans les analyses régionales sur le tableau de bord.
point46,Le contributeur de données d'origine peut spécifier toute limitation ou condition d'utilisation applicable à tous les utilisateurs.
newdata,Validation des Données Nouvelles et marquées
p29,"Dans les enquêtes, certaines questions permettent aux enquêteurs d'ajouter un nouveau pêcheur, acheteur, collecteur de données, site de débarquement, espèce ou “autre.” Les informations de ces options sont de nouveaux points de données et doivent être vérifiées avant d'être poussées vers l'ensemble de données final, visualisées dans le tableau de bord et ajoutées aux fichiers de référence. Il existe également des contraintes sur le poids, le prix et la longueur d'une espèce, et si les données collectées sont inférieures ou supérieures à ces contraintes, ces valeurs sont signalées pour examen. Les contraintes de poids et de prix sont définies par les partenaires dans le min_max_ref. Les contraintes de longueur des espèces sont fixées par l'équipe à l'aide de paramètres biologiques."
p30,"Toutes les données qui transitent par le système de données sur les pêches sont validées dans Smartsheet. Toutes ces entrées nouvelles ou signalées sont envoyées au tableau de validation de Smartsheet pour que les équipes de terrain les valident. Les tableaux de validation sont spécifiques aux partenaires et sont accessibles via des demandes de mise à jour envoyées par e-mail ou en visitant les liens d'affichage dynamique qui vous sont fournis. Les chefs d'équipe sur le terrain seront informés par e-mail lorsque les données doivent être validées dans les tableaux de validation. Une fois les données vérifiées dans les tableaux, nous ajouterons de nouvelles informations au fichier de référence et apporterons les corrections nécessaires à l'ensemble de données maître."
p31,"Des instructions spécifiques, étape par étape, sur la façon d'effectuer la validation des données dans Smartsheet sont disponibles sur la page Validation des données."
datacol,Collecte de Données
p32,"Blue Ventures administre toutes les enquêtes via les formulaires Kobo Toolbox partageables via un compte Kobo Toolbox. Vous pouvez créer un compte sur https://kf.kobotoolbox.org/accounts/signup/. Veuillez contacter l'équipe avec votre nom d'utilisateur et les détails de votre compte. Une fois les sondages partagés, accédez aux formulaires Kobo via l'application gratuite KoboCollect pour téléphone mobile Android ou via le formulaire Web Enketo. Des instructions détaillées sur la configuration d'un compte Kobo, la collecte de données et la soumission de données sont disponibles sur la page de configuration Kobo. Utilisez un code QR pour configurer tous les appareils après avoir configuré manuellement le premier téléphone ou tablette pour configurer plusieurs téléphones ou tablettes sous un seul compte de collecte de données. La configuration manuelle du premier appareil nécessite l'URL du serveur Kobo, le nom d'utilisateur et le mot de passe. L'URL du serveur Kobo est https://kc.kobotoolbox.org. Vous trouverez plus d'informations sur la configuration de la collecte de données avec Kobo, y compris sur la configuration de plusieurs appareils de collecte de données via un code QR, sur https://support.kobotoolbox.org/."
p33,"Une fois que vous avez téléchargé KoboCollect, ouvrez l'application et entrez l'URL du serveur, le nom d'utilisateur et le mot de passe pour connecter votre application KoboCollect au serveur KoboToolbox. La connexion de l'application KoboCollect au serveur KoboToolbox vous permet de télécharger des formulaires déployés depuis KoboToolbox sur votre appareil mobile et de renvoyer les données collectées via l'application au serveur. Sur l'écran d'accueil, sélectionnez “Obtenir un formulaire vierge.” Une liste de tous vos formulaires d'enquête déployés devrait apparaître. Appuyez sur ""Tout sélectionner"" pour que tous les formulaires d'enquête soient envoyés à l'application, ou sélectionnez ceux que vous souhaitez avoir en les sélectionnant manuellement. Cliquez ensuite sur "" Être sélectionné.""Pour déployer l'enquête, sélectionnez"" Remplir le formulaire vide.”"
p34,"Bien que le formulaire Web soit automatiquement mis à jour lorsqu'une nouvelle version d'enquête est disponible, les utilisateurs doivent configurer eux-mêmes la “mise à jour automatique” dans l'application. La mise à jour régulière des enquêtes dans l'application garantit l'utilisation de la dernière version du formulaire et ne pose pas de problèmes de pipeline de données. Vous pouvez configurer la mise à jour automatique dans l'application en accédant à “Paramètres” et “Gestion des formulaires.""Vous trouverez plus d'informations sur la mise à jour automatique des sondages dans l'application sur la page de configuration de Kobo. Il est important de noter qu'une connexion est requise pour que l'application récupère la version la plus récente du sondage, même avec les paramètres de mise à jour automatique activés. Par conséquent, conseillez aux enquêteurs d'avoir une connexion Internet avant d'effectuer des travaux sur le terrain afin que KoboCollect puisse extraire la version la plus récente."
p35,"Après la collecte des données, les enquêtes soumises via le formulaire Web seront automatiquement soumises au serveur une fois que le collecteur de données aura cliqué sur le bouton “Soumettre”. Les données collectées via l'application KoboCollect sont d'abord enregistrées dans l'application dans un lieu de stockage, puis transmises au serveur. Les sondages complétés restent en attente avant d'être soumis au serveur afin que les collecteurs de données puissent apporter des modifications au sondage après la collecte des données, ou s'il n'y a pas de connexion Internet, l'application peut enregistrer les sondages, puis les envoyer au serveur une fois la connexion Internet établie. Plus précisément, lorsque l'enquête est terminée, l'utilisateur clique sur “Enregistrer le formulaire et quitter”, en s'assurant que “Marquer le formulaire comme finalisé” est également coché. ""Modifier le formulaire enregistré"" stocke automatiquement le formulaire enregistré. Le collecteur de données peut apporter les modifications nécessaires et sélectionner "" Enregistrer le formulaire et quitter.""L'écran d'accueil comporte également un bouton appelé “Envoyer le formulaire finalisé.""Appuyez sur Sélectionner tout (ou sélectionnez ceux que vous souhaitez télécharger) , puis appuyez sur"" Envoyer sélectionné.""Sélectionnez"" Afficher le formulaire envoyé "" pour vous assurer de télécharger correctement les formulaires et vous devriez maintenant pouvoir afficher tous les formulaires soumis."
p36,"Un système central de stockage des données est lié aux données Kobo, et des analyses et visualisations automatisées seront disponibles via un tableau de bord standardisé. Les données brutes sont sauvegardées dans la base de données KoboToolbox et seront disponibles par téléchargement ou par lien direct vers une autre base de données ou un entrepôt de données."
translations,Traductions
p37,"Les traductions pour toutes les langues sont terminées en éditant les feuilles de traduction dans Smartsheet. Si vous constatez qu'une traduction doit être mise à jour ou qu'elle est incorrecte dans les enquêtes, veuillez mettre à jour directement la traduction correspondante dans la feuille Smartsheet appropriée. Si l'équipe a besoin de nouvelles traductions, les partenaires recevront une notification de Smartsheet."
ref,Fichiers de Référence
p38,"Les fichiers de référence sont spécifiques aux partenaires ou aux pays et contiennent des informations complètes sur les niveaux administratifs des communautés de pêcheurs( pays, province, district, village), les sites de débarquement, les pêcheurs, les acheteurs, les collecteurs de données, les données sur les espèces, les zones de gestion, les types d'habitats, les types d'engins et les organisations partenaires. Certaines informations remplissent les listes déroulantes dans les enquêtes, et certaines sont jointes à l'ensemble de données principal après la collecte des données. Les nouvelles informations doivent être ajoutées directement aux fiches de référence."
p39,"Des instructions spécifiques, étape par étape, sur la façon de mettre à jour les fichiers de référence dans Smartsheet se trouvent sur la page Fichiers de référence."
appendixa,Annexe A: Guide de discussion des Groupes de discussion
p40,Considérations importantes avant de procéder à un profilage ou à des enquêtes sur les pêches
p41,Relation et confiance
p42,"Établir des relations et gagner la confiance de la communauté est une première étape importante avant de poser des questions sur les informations sur les pêches. La première étape pour établir des relations et gagner la confiance de la communauté consiste à vous présenter, votre organisation et le but de la réalisation du profilage des pêches."
p43,Préparation
p44,"La préparation est importante dans la conduite de chaque méthode d'enquête, car une bonne préparation vous donnera confiance en l'efficacité de chaque méthode que vous appliquerez."
p45,Temps de collecte des informations
p46,Ajuster le temps de réalisation de chaque méthode au temps du répondant potentiel ou du groupe communautaire ciblé.
p47,Répondant
p48,"Il est essentiel de comprendre les répondants potentiels que vous rencontrerez lors de l'établissement du profil des pêches pour mener des enquêtes. Les groupes ou les personnes qui participeront à l'enquête devraient recevoir une notification préalable. Par conséquent, la présentation de leaders communautaires influents doit faire partie du travail de pré-enquête."
p49,Logistique
p50,Chaque méthode a des besoins logistiques et matériels. Assurez-vous que les ressources et l'équipement nécessaires pour chaque méthode de profilage des pêches ont été préparés.
p51,Liste de contacts des personnes clés
p52,Enregistrez une liste de contacts de personnes clés sur votre téléphone et disposez également d'une version imprimée pour la sauvegarde.
p53,Santé et sécurité
p54,Assurez-vous que vous êtes en bonne condition pour effectuer le profilage des pêches. Apportez une trousse de premiers soins essentielle.
p55,Orientation des Discussions de Groupe de Discussion
p56,"Ce qui suit contient des conseils et des recommandations sur la conduite d'un groupe de discussion pour saisir les informations de profilage communautaire. Il est recommandé de tenir une séance de groupe de discussion pour encourager le dialogue, saisir une diversité d'opinions et commencer à établir des relations avec des membres importants de la communauté. Cependant, dans le cas où un groupe de discussion n'est pas possible, l'enquête de profilage communautaire peut être menée sous forme d'entretiens individuels avec des parties prenantes importantes à l'aide du formulaire Kobo “Enquête de profilage communautaire”. Dans l'ensemble, l'objectif de l'exercice de profilage communautaire, que ce soit sous forme de groupe de discussion ou d'entrevue individuelle, est de comprendre le paysage général de la communauté et les pêcheries opérant au sein de la communauté."
p57,Avant de diriger un groupe de discussion
p58,"Avant d'organiser un groupe de discussion officiel sur le profilage des pêches, il est recommandé de tenir des conversations informelles et d'observer les participants. Cette méthode implique de passer du temps, d'établir des relations et de comprendre la pêche en utilisant une conversation informelle et l'observation participante."
p59,"Une conversation informelle est importante pour mieux comprendre le contexte général des pêches avant de mener une discussion de groupe de discussion. Utilisez cette méthode comme l'un des points de départ pour formuler le contenu de la discussion de groupe de discussion. Cette méthode vous permettra d'apprendre à connaître la communauté des pêcheurs, de commencer à nouer des relations et de gagner la confiance."
p60,Conseils recommandés pour mener des conversations informelles:
tip1,"Respectez les différences culturelles. Observez les normes sociales telles que les salutations acceptables, les codes vestimentaires et respectez les pratiques religieuses. Soyez poli, humble et écoutez les opinions des parties prenantes sans imposer la vôtre. Rester au sein d'une communauté, établir des relations et partager des repas peut aider à instaurer la confiance."
tip2,"Passez du temps avec les parties prenantes. Il n'y a pas de raccourci pour gagner la confiance et le soutien. Surtout au sein des communautés, il est bon d'être vu, de passer du temps dans les villages et de rencontrer des gens. Soyez prêt à discuter des problèmes plus larges au sein de la communauté. N'essayez pas de pousser un agenda particulier."
tip3,"Utilisez la langue locale si possible, à moins qu'une langue commune ne soit accessible. Sinon, utilisez un interprète. Soyez attentif aux erreurs de traduction. La vérification croisée de la traduction entre plusieurs interprètes peut aider à réduire les erreurs d'interprétation."
tip4,"Ne faites pas de promesses qui ne peuvent être tenues. Soyez clair sur les objectifs et les résultats escomptés sans susciter d'attentes. Il est important de le souligner dès le début afin que les communautés comprennent clairement le rôle du partenaire technique, c'est-à-dire faciliter la fermeture de la pêche au poulpe, et non creuser des puits ou réparer des bancs. Il est important de s'assurer que tout le monde est au courant de ce que l'organisation peut et ne peut pas faire au sein de la communauté. Garantir des attentes réalistes aide à minimiser les déceptions, les plaintes et les conflits au fur et à mesure que le projet progresse."
tip5,Communiquer largement les plans et les activités. Assurez-vous que toutes les réunions ou activités sont planifiées à l'avance et à des heures et des endroits mutuellement acceptables pour maximiser la participation. Veiller à ce que tout changement dans les plans et les activités soit communiqué le plus tôt possible. Être à l'heure et respecter les accords aide à instaurer la confiance entre les parties prenantes.
tip6,"Toujours reconnaître les parties prenantes dans les résultats du projet tels que les rapports et les communiqués de presse lors des réunions des parties prenantes et des présentations externes. Soyez conscient de la ""propriété"" de l'information et respectez la confidentialité et la vie privée."
p61,"Il est essentiel de mieux comprendre le paysage des parties prenantes de la communauté pour mener des conversations informelles et des observations participatives. Les parties prenantes influencent ou peuvent être influencées par les actions d'une organisation. Leur soutien est essentiel au succès d'une organisation dans la mise en œuvre des plans de gestion des pêches. En comprenant mieux les parties prenantes, vous identifierez efficacement les parties prenantes impliquées dans la surveillance future des pêches pour la gestion des pêches dans leur région."
examples,Exemples de types de parties prenantes à inclure:
example1,Pêcheurs
example2,Chef de village
example3,Foi / chefs religieux
example4,Chef de district
example5,Agent de santé communautaire / praticien de la santé
example6,Acheteur/fournisseur de village
example7,Usine de transformation
example8,Femmes du village / épouses de pêcheurs
p62,Informations à collecter sur les parties prenantes:
point47,"Des informations sur les principales parties prenantes et leurs positions par rapport aux objectifs d'une entité (degré de soutien, pouvoir, etc.). Cette information peut être utilisée pour identifier les parties prenantes à inclure dans le groupe de discussion sur le profilage communautaire."
p63,"Après avoir mené des conversations informelles, la prochaine étape que vous pouvez faire est l'observation participante. L'observation est une méthode qui vous permet d'utiliser les événements autour de vous pour recueillir des indices et générer des conclusions sur des lieux ou des expériences spécifiques en observant une journée dans le village de pêcheurs. Cette méthode est nécessaire pour recueillir des preuves à partir des informations fournies lors de conversations informelles. Cette méthode vous permet de comprendre les activités de la vie quotidienne du village de pêcheurs."
p64,Procédures des Groupes de Discussion
2a,Organisation du groupe de discussion
2a.1,"Il est important de maintenir de bonnes relations avec les communautés cibles. Par conséquent, dans la mesure du possible, les villages doivent être informés du programme de la réunion du groupe de discussion au moins deux semaines à l'avance."
2a.2,"Si le village dispose d'une réception de téléphone portable, appelez le chef du village ou d'autres contacts locaux."
2a.3,"Si le village ne dispose pas de réception de téléphone portable, effectuez une visite du village pour rencontrer le chef du village ou d'autres contacts locaux."
