key,tet
p8,"Peskiza Monitorizasaun Rai tenke hala'o loroloron ka dala barak liu. Halo Peskiza Monitorizasaun Rai molok no hafoin implementasaun hodi avalia efeitu sira husi enserramentu peska ka estratéjia jestaun sira seluk. Ami rekomenda atu halibur dadus loron 30 molok no hafoin períodu taka temporáriu. Durante loron hitu primeiru husi períodu amostra nian, ami rekomenda katak enumerador sira hala'o Peskiza Monitorizasaun Landings loroloron. Karik bele, kontinua halo monitorizasaun loron-loron ba períodu loron 30 tomak. Karik ida-ne'e la posivel, halo peskiza pelumenus 80% husi loron sira iha loron 30 nia laran. Ami mós rekomenda peskiza 80% ka liu husi peskadór sira ne'ebé tun iha loron ida-idak molok ka hafoin taka. Distribui esforsu levantamentu reprezentativu entre peskadór ro no peskadór la'ós ro. Halibur dadus husi peskadór hotu-hotu ne'ebé tun iha suku laran, maske peskadór sira-ne'e tama ka lae iha fatin taka nian."
p9,"Ba enserramentu ba tempu naruk, asegura katak dadus sira-ne'e halibur durante fulan ne'ebé hanesan ba tinan ida-idak atu kaptura mudansa sira durante períodu enserramentu. Se ida-ne'e la bele haree, ami rekomenda atu halibur dadus durante fulan ne'ebé hanesan molok no hafoin taka tiha. Hanesan hateten ona iha leten, ami rekomenda peskiza pelumenus 80% husi loron iha fulan ida-ne'e nia laran no 80% husi peskadór sira ne'ebé tun iha loron ida-idak."
p10,"Uza formuláriu Kobo, hasoru peskadór sira iha fatin tun nian atu rejista sira-nia kaer."
lps,Peskiza Profiling ba rai-nakdoko
p11,Komprende tendénsia atu kaer.
point18,Data to'o mai
point19,Fatin ba rai
point20,Rai peska primária
point21,Naran negosiante ikan.
point22,Naran peskadór
point23,Esforsu peska (hours no loron peska/gleaning)
point24,"Tipu ro (numeru rejistu ro, númeru ekipa)"
point25,"Identidade espésie (lokál, naran komún, sientifika)"
point26,Uza ai-tonka
point27,Habitat peskadu
point28,Totál konta
point29,Totál todan
point30,Totál folin
point31,"Razaun totál kaer la fa'an, karik aplikavel"
point32,Ezemplu pesoál no naruk individuál (Figura 2-8)
point33,"Dadus ezemplu espesífiku husi parseiru (seksu, kualidade kapturasaun, Gonads, stylet, # traps, etc.)"
p12,"Reprezentante amostra kapturasaun iha komunidade laran. Rejista pelumenus amostra 50 (idealmente 100) ba espésie alvu ida-idak, reprezenta tipu sasán oioin no perfíl peskadór sira."
p13,"Peskiza ida-ne'e tenke hala'o iha inísiu envolvimentu iha komunidade ida no tuir mai hala'o kada tinan ida to'o tinan rua, molok no hafoin implementa estratéjia jestaun, ka tuir nesesidade atu esplika redusaun sira ne'ebé observa liuhosi dadus monitorizasaun. Uza formuláriu Kobo, hasoru peskadór sira iha fatin tun hodi halo amostra ba sira-nia kaer no rejista sira-nia atividade peska."
p14,"Uza formuláriu Kobo, hasoru peskadór sira iha fatin tun hodi halo amostra ba sira-nia kaer no rejista sira-nia atividade peska."
ms,Padraun Medida: Tipu naruk atu sukat tuir espésie grupu
fig2,"Figura 2: Total naruk tenke uza atu sukat ikan-fuan, ai-tarak no ai-tarak (AFS)."
fig3,Figura 3: tenke uza disk luan atu sukat rai-rahun no eskada.
fig4,"Figura 4: Karapace width tenke uza bainhira sukat karau (Suryandari et. al, 2018)."
fig5,Figura 5: Mantajen nia naruk tenke uza bainhira sukat oktopu no squid (FAO).
fig6,Figura 6: Karapace nia naruk tenke uza bainhira sukat shrimp no lobster (Hart et al. 2001).
fig7,Figura 7: Loron tenke uza bainhira sukat bivalves no gastropods.
fig8,Figura 8: Total naruk tenke uza bainhira sukat tasi-kuak. Tenke uza luan ka diameter teste bainhira sukat urina tasi nian.
dfo,Data Flow Overview
p15,"Kolesaun dadus, validasaun, transformasaun, no vizualizasaun mak komponente prinsipál haat iha sistema dadus. Aplikasaun software prinsipál ne'ebé uza mak KoboToolBox, Smartsheet, PostgreSQL, no R."
p16,"KoboToolBox mak software ida-ne'ebé livre no nakloke, ne'ebé nu'udar toolkit ida-ne'ebé forte ba kolesaun dadus ne'ebé asesivel liu husi ambiente dezafiu no plataforma oioin, hanesan ekipamentu movel, komputadór no surat-tahan. Enumerador sira halibur dadus kona-ba kondisaun sosioekonomiku no ekolojiku ne'ebé esensiál atu avalia komunidade peska no estatutu sira liuhosi kestionáriu levantamentu KoboToolBox. Smartsheet mak plataforma jestaun servisu kolaborativu ida-ne'ebé fornese interfesaun fleksivel no intuitivu ba organizasaun sira atu planeia, halo monitorizasaun, automatiza, no jere projetu no prosesu oioin iha tempu real. Fail referénsia sira ne'ebé uza atu halo formuláriu levantamentu no liga dadus adisionál ba dadus master sira jere iha Smartsheet. Aleinde ne'e, dadus sira-ne'e hetan validasaun iha Smartsheet. PostgreSQL mak sistema jestaun baze dadus ne'ebé livre no nakloke uza nu'udar armazén dadus ba aplikasaun web, analítiku no jeospasial oioin, enkuantu armazenamentu dadus ne'ebé la estruturadu no estruturadu iha produtu ida deit. R mak ambiente software no lian programa ne'ebé livre no nakloke ne'ebé uza ba siénsia dadus, komputasaun estatístika, no vizualizasaun dadus. Dadus dashboard sira-ne'e harii ho pakote Shiny husi lian programa R no organiza iha shinishapps.io, plataforma ida hanesan servisu (PaaS) hodi organiza aplikasaun web Shiny (Aplikasaun)."
fig9,Figura 9: Diagrama Data Flow.
p17,"Kolesaun dadus envolve sistemátiku halibur no sukat informasaun hosi fonte relevante sira kona-ba variabilidade interese ba foti desizaun, planeamentu estratéjiku, avaliasaun ba rezultadu, no objetivu sira seluk. Liu husi inkorpora dadus kuantitativu no kualitativu iha kestionáriu levantamentu, ita dezenvolve kompriensaun kle'an liu kona-ba kondisaun sosioekonomiku no ekolojiku ne'ebé relevante ba komunidade peska no estratéjia jestaun adaptativu sira. Validasaun dadus refere ba aplikasaun métodu sira atu sukat kondisaun sira husi dadus ne'ebé halibur ona no determina se dadus ne'ebé halibur ona kumpre kriteriu kualidade ne'ebé define ona, hanesan loloos, konsisténsia, relevante, kompletu, no úniku. Transformasaun dadus transforma, hamoos, no estrutura dadus primeiru ba formatu ne'ebé bele uza ne'ebé bele analiza no avalia ba foti desizaun. Análize dadus no vizualizasaun envolve dezeña no kria gráfiku ka hatudu informasaun ne'ebé asesivel hodi komunika dadus kualitativu no kuantitativu ne'ebé kompleksu antes ne'e halibur, verifika, no transforma iha audensia alvu sira. Ita deskreve ona prosesu flow dadus iha kraik:"
step1,Dadus sira-ne'e halibur liu husi formuláriu levantamentu KoboToolBox.
step2,Dadus dada ba baze dadus.
step3,"Se enumerador hili ona opsaun resposta pre-populadu iha levantamentu, dadus sira-ne'e la presiza hetan validasaun no bele liu diretamente ba prosesu análize dadus no vizualizasaun."
step4,"Kuandu enumerador hatama manualmente dadus hanesan peskadór foun, sosa-nain, koletor dadus, fatin rai-maran, ka espésie sira, dadus sira-ne'e verifika iha Smartsheet molok inklui iha tabela dadus finál no haree iha dashboard. Lideransa ekipa kampu sira hetan notifikasaun liuhosi email bainhira dadus prontu atu halo validasaun. Ekipa lider sira sei halo kontrolu manualmente ba tabela kontrolu kualidade hodi konfirma katak informasaun foun ne'ebé adisionál ne'e válidu."
step5,"Hafoin validasaun, dadus foun sira dudu ba arkivu referénsia sira no fila fali ba baze-dadus ba transformasaun finál molok analiza no haree."
step6,"Bainhira dada dadus ba arkivu referénsia sira, lideransa ekipa sira sei hetan notifikasaun liuhosi email se presiza informasaun adisionál ruma iha arkivu referénsia sira."
step7,"Tuirmai, fail referénsia sira ne'ebé atualiza ona sei hatama ba plataforma KoboToolBox atu inklui iha formuláriu sira."
step8,Dadus ne'ebé atualiza ona husi arkivu referénsia sira mós uza iha prosesu transformasaun dadus hodi hamutuk ho kampu dadus adisionál sira hanesan koordenadu no jéneru.
step9,Pasu finál sira husi prosesu transformasaun dadus nian rezulta iha tabela dadus nian ne'ebé uza ba análize dadus no vizualizasaun iha dashboard dadus nian.
step10,"Dashboard dadus (ezemplu, Shiny apps) liga diretamente ba baze dadus, dada dadus ne'ebé disponivel liu, nune'e fornese parseiru sira besik asesu imediatu ba dadus primeiru no sumáriu."
datasecurity,Seguransa dadus
p18,Tuir mai iha lista plataforma software sira ne'ebé bele rai dadus no muda iha tranzitu hosi baze dadus. Informasaun seguransa dadus ba kada plataforma esterna disponivel iha website espesífiku plataforma ne'ebé liga iha ne'e.
p19,"Prosedimentu seguransa adisionál sira implementa tiha ona, aleinde medida seguransa dadus ne'ebé fornese husi plataforma software sira iha leten. Konta hotu-hotu iha plataforma software hotu-hotu ne'ebé uza proteje ho lia-loos."
p20,"Ami uza Github nu'udar ami-nia sistema kontrolu versaun ba produtu kódigu sira. Tuir loloos, kaixa no projetu hotu-hotu ho dadus peska no sosio-ekonomiku privadu no asesivel de'it ba pesoál no kontratór sira."
p21,"Husi kualkér plataforma dadus ne'ebé fahe (hanesan Shiny Apps), presiza autentikasaun utilizadór atu haree ka download dadus, depende ba akordu fahe dadus ne'ebé hili husi kada organizasaun parseiru. Ida ne'e inklui verifikasaun ba utilizadór sira molok permite atu haree ka download dadus, utilizadór sira tama ba plataforma vizualizasaun dadus, no jestaun regulár ba utilizadór sira ne'ebé verifika ona."
p22,"Asesu ba dokumentu Smartsheet (hanesan arkivu referénsia, surat-tahan validasaun dadus) limitadu ba pesoál sira ne'ebé kada organizasaun identifika, no parseiru ida-idak bele haree de'it sira-nia informasaun espesífiku parseiru nian. Esepsaun ba ida-ne'e inklui funsionáriu sira ne'ebé kontrola no tulun ho kualidade servisu, no staff Blue Ventures tulun parseiru sira ho informasaun workflows iha Smartsheet."
dp,Dadus Privasidade
p24,"Informasaun pesoál ne'ebé bele identifika (PII) no dadus kona-ba peska ne'e na'in ba peskadór no sosa ikan no sei nunka fahe sein konsentimentu antes. Atu proteje privasidade peskadór, sosa-nain no koletor dadus sira-nian, naran hotu-hotu anónimu ba númeru identifikasaun random. Tanba ne'e, dadus hotu-hotu ne'ebé disponivel parsialmente ka públiku tomak sei inklui de'it númeru id random, numeriku. Haree seksaun kona-ba fahe dadus ba esplikasaun kompletu kona-ba akordu fahe dadus."
p25,Dadus ne'ebé konsidera hanesan PII inklui:
point34,"Naran peskadór, sosa-nain no koletor dadus"
point35,Naran husi respondente sira ba kualkér levantamentu
datasharing,Fahe dadus
p26,"Sistema dadus peska nian ne'e dezeña atu fasilita utilizasaun dadus no fornese plataforma ida ba envolvimentu ativu iha esforsu jestaun no konservasaun peska nian ne'ebé luan liu. Dadus ne'ebé halibur hamutuk iha parseiru sira-nia leet bele fó informasaun ne'ebé forte ba monitorizasaun peska, avaliasaun estratéjia jestaun, foti desizaun orientasaun iha nivel lokál no nasionál, kompriende mudansa rejionál sira, no identifika servisu finanseiru potensiál sira."
p27,"Ami rekoñese importánsia krítiku husi na'in dadus no utilizasaun ba parseiru kontributivu hotu-hotu. Ami nia objetivu mak atu fó fleksibilidade ba ita-boot sira hodi jere no determina oinsá ita-boot sira-nia dadus uza. Hodi hili dadus tolu ida uza nivel lisensa, ita bele regula to'o iha ne'ebé ita-nia dadus fahe ho utilizadór sira seluk. Ita bele adapta nivel lisensa bazeia ba tipu dadus, no importante liu, ita iha liberdade atu ajusta ita-nia nivel lisensa dadus iha kualkér tempu. Informasaun pesoál ne'ebé bele identifika (PII) no dadus kona-ba peska ne'e na'in ba peskadór no sosa ikan no sei nunka fahe sein konsentimentu antes. Hodi hili nivel lisensa uza dadus, ita konfirma katak lisensa individuál sira hetan ona husi peskadór no sosa ikan."
p28,Dadus hotu-hotu oras ne'e estabelese ona iha nivel 1 - Privadu. Utilizadór sira sei iha oportunidade atu ajusta sira-nia nivel lisensa tuir nesesidade.
level1,Nivel 1 - Privadu
point36,Dadus sira-ne'e maka ba objetivu internu husi kontribuinte dadus orijinál.
point37,Dadus sei disponivel atu download husi kontribuinte dadus orijinál.
point38,Dadus sei la inklui iha análize rejionál ne'ebé fornese iha dashboard.
point39,Bandu maka'as atu fahe ka fahe dadus ba parte esternu sira.
level2,Nivel 2 - Share ho Kontribuinte Dadus sira seluk
point40,Dadus nivel viajen nian disponivel ba kontribuinte dadus sira seluk atu download.
point41,Sumáriu dadus no vizualizasaun sei disponivel ba kontribuinte dadus seluk.
point42,Dadus sei inklui iha análize rejionál iha dashboard.
level3,Nivel 3 - Fahe ho Uzu hotu
point43,Dadus nivel viajen disponivel ba utilizadór hotu-hotu atu download.
point44,Sumáriu dadus no vídeo sei disponivel ba utilizadór hotu-hotu.
point45,Dadus sei inklui iha análize rejionál iha dashboard.
point46,Kontribuinte dadus orijinál bele espesífika kualkér limitasaun ka kondisaun utilizasaun ne'ebé aplika ba utilizadór hotu-hotu.
newdata,Validasaun Dadus Foun no bandeira
p29,"Iha peskiza sira-ne'e, ema balu ne'ebé hanoin kona-ba buat ne'ebé sira hakarak atu halo, sira mós bele aumenta tan peskadór foun, sosa-nain, koletor dadus, fatin ba rai, espésie, ka ""seluk tan"". Informasaun hosi opsaun hirak-ne'e mak pontu dadus foun no tenke halo verifikasaun molok dudu ba iha set dadus finál, haree iha dashboard, no aumenta ba arkivu referénsia sira. Iha mós limitasaun sira ne'ebé estabelese ba espésie ida nia todan, folin no naruk, no se dadus ne'ebé halibur ona mak ki'ik liu ka aas liu husi limitasaun hirak-ne'e, valór hirak-ne'e sei marka ba revizaun. Limitasaun ba todan no folin estabelese husi parseiru sira iha min_max_ref. Espésie sira-nia naruk limitasaun sira-ne'e mak ekipa ne'ebé uza parámetru biolojiku sira."
p30,"Dadus hotu-hotu ne'ebé suli liu husi sistema dadus peska nian hetan validasaun iha Smartsheet. Kualkér tama foun ka bandeira ne'e haruka ba tabela validasaun iha Smartsheet atu ekipa kampu sira bele omologa. Tabela validasaun ne'e espesífiku ba parseiru no bele hetan asesu liu husi pedidu atualizasaun ne'ebé haruka ba ita-nia e-mail ka liu husi vizita ligasaun ba Vizaun dinámika ne'ebé fornese ba ita. Lideransa ekipa kampu nian sei hetan notifikasaun liuhosi email bainhira presiza hetan validasaun dadus iha tabela sira. Bainhira verifika tiha ona dadus iha tabela validasaun, ita sei aplika informasaun foun ba arkivu referénsia no fornese korretu nesesáriu ba dadus master."
p31,"Instrusaun espesífiku, pasu-ba- pasu kona-ba oinsá atu kompleta validasaun dadus iha Smartsheet bele hetan iha pájina Validasaun Dadus."
datacol,Kolesaun dadus
p32,"Blue Ventures administra levantamentu hotu-hotu liuhosi formuláriu Kobo Toolbox ne'ebé bele fahe liuhosi konta Kobo Toolbox. Ita bele estabelese konta iha https://kf.kobotoolbox.org/accounts/signup/. Favór kontaktu ekipa ho ita-nia naran naran no informasaun kona-ba konta. Bainhira peskiza sira fahe tiha ona, asesu ba formuláriu Kobo liu husi aplikasaun telemovel Android ne'ebé gratuita ka liu husi formuláriu Enketo. Instrusaun detalladu kona-ba estabelesimentu konta Kobo, halibur dadus, no submete dadus bele hetan iha pájina Setup Kobo. Uza kódigu QR atu konfigura ekipamentu hotu-hotu hafoin halo manualmente telefone ka tablet primeiru hodi estabelese telemovel ka tablet oin-oin iha konta kolesaun dadus ida nia okos. Manuál instalasaun ba dispozisaun primeiru presiza server Kobo URL, naran utilizadór no lia-loos. Kobo server URL mak https://kc.kobotoolbox.org. Informasaun liu tan kona-ba estabelesimentu kolesaun dadus ho Kobo, inklui oinsá atu konfigura ekipamentu kolesaun dadus oin-oin liuhosi kódigu QR, bele hetan iha https://support.kobotoolbox.org/."
p33,"Bainhira Ita download tiha ona KoboCollect, loke aplikasaun ne'e no tama ba server URL, naran utilizadór no lia-loos hodi liga Ita-nia aplikasaun KoboCollect ba server KoboToolbox. Koneksa aplikasaun KoboCollect ba server KoboToolbox permite ita atu download formuláriu sira ne'ebé implementa husi KoboToolbox ba ita-nia dispozisaun movel no haruka dadus ne'ebé halibur liuhusi aplikasaun ne'e fila fali ba server. Iha telemovel laran, haree mós ""Haree forma ne'ebé mutin."" Lista ida kona-ba formuláriu levantamentu hotu ne'ebé implementa ona tenke aprezenta. Imprensa ""Selesaun hotu"" atu haruka formuláriu levantamentu hotu-hotu ba aplikasaun, ka hili formuláriu sira ne'ebé ita hakarak iha hodi hili manualmente. Tuirmai klike iha ""Haree didi'ak"". Atu halo peskiza ne'e, hili ""Fill Blank Form."""
p34,"Enkuantu formuláriu web automatikamente atualiza bainhira iha versaun levantamentu foun ida, utilizadór sira tenke konfigura ""atualizasaun auto"" iha aplikasaun. Atualiza beibeik peskiza sira iha aplikasaun ne'e asegura uza versaun foun husi formuláriu no la kauza problema kona-ba kadoras dadus. Ita bele halo atualizasaun iha aplikasaun hodi ba ""Setings"" no ""Jestaun Formasaun"". Informasaun liu tan kona-ba atualizasaun automatikamente peskiza iha aplikasaun bele hetan iha pájina Setup Kobo. Importante atu nota katak presiza ligasaun ida ba aplikasaun atu dada versaun levantamentu foin lalais ne'e, maske iha instalasaun auto-atualizadu ne'ebé loke tiha ona. Tanba ne'e, fó konsellu ba enumerador sira atu iha ligasaun internét molok hala'o servisu iha kampu atu nune'e KoboCollect bele dada versaun foun liu."
p35,"Hafoin halibur tiha dadus, levantamentu sira ne'ebé aprezenta liuhosi formuláriu web sei submete automatikamente ba server bainhira koletor dadus tuku iha knotak ""Submit"". Dadus ne'ebé halibur liu husi aplikasaun KoboCollect mak rai ulukliu iha aplikasaun iha fatin holding no depois dudu ba iha server. Peskiza ne'ebé kompleta ona sei kontinua hala'o molok submete ba server atu nune'e koletor dadus sira bele halo edisaun levantamentu hafoin halibur dadus, ka se la iha ligasaun ba internét, aplikasaun bele salva levantamentu sira no depois dudu levantamentu sira ba server bainhira iha konetividade ba internét. Espesifikamente, bainhira levantamentu ne'e remata, utilizadór sei baku ""Save formuláriu no sai,"" hodi asegura katak ""Haree mós formuláriu marka bainhira remata tiha ona"". ""Edisaun Formulariu salvasaun"" automatikamente halo fatin ne'ebé rai hela. Ema ne'ebé halibur dadus bele halo mudansa ne'ebé presiza no hili ""Salva Formulariu no sai."" Iha mós knotak ida-ne'ebé bolu nu'udar ""Hatoo Formulariu Finalizadu"". Impresa hili hotu (ka hili sira ne'ebé ita hakarak hatama) no tuirmai impresa ""Haruka Selesionadu."" Hili formuláriu ""Vizaun haruka"" atu asegura katak bele hatama formuláriu sira-ne'e ho susesu no agora ita bele haree formuláriu sira ne'ebé haruka ona."
p36,"Sistema armazenamentu dadus sentrál ida-ne'ebé liga ba dadus Kobo, no análize automatiku no vizualizasaun sei disponivel liu husi dashboard padraun ida. Dadus primeiru hetan apoiu iha baze dadus KoboToolbox no sei disponivel liu husi download ka ligasaun direta ba baze dadus seluk ka armazén dadus."
translations,Tradusaun
p37,"Tradusaun ba língua hotu-hotu kompleta hodi edita surat-tahan tradusaun iha Smartsheet. Se ita haree katak tradusaun ida presiza atualiza ka sala iha peskiza sira, favór ida atualiza diretamente tradusaun ne'e iha surat-tahan ne'ebé apropriadu. Se ekipa ne'e presiza tradusaun foun, parseiru sira sei simu notifikasaun hosi Smartsheet."
ref,Referensia Files
p38,"Arkivu referénsia sira-ne'e hanesan parseiru ka espesífiku nasaun nian no iha informasaun komprehensivu kona-ba nivel administrativu komunidade peska nian (nasaun, provínsia, distritu, suku), fatin rai-maran, peskadór, sosa-nain, koletor dadus, dadus espésie, área jestaun, tipu habitat, tipu sasán no organizasaun parseria sira. Informasaun balun halibur lista dropdown iha levantamentu, no balun hamutuk ho dadus mestradu hafoin halibur dadus. Informasaun foun tenke aumenta diretamente iha surat-tahan referénsia."
p39,"Instrusaun espesífiku, pasu-ba- pasu kona-ba oinsá atu atualiza fail referénsia sira iha Smartsheet bele hetan iha pájina Files Referensia."
appendixa,Aneksu A: Matadalan Diskusaun Grupu Foku
p40,Konsiderasaun importante sira molok hala'o peska nia perfíl ka peskiza
p41,Relasaun no fiar
p42,"Harii relasaun no hetan konfiansa husi komunidade hanesan pasu importante ida husi inísiu molok husu informasaun peska. Pasu dahuluk atu harii relasaun no hetan konfiansa komunidade nian mak introdús ita-nia an rasik, ita-nia organizasaun, no objetivu atu hala'o perfíl peska nian."
p43,Prepara
p44,"Preparasaun importante atu hala'o métodu levantamentu ida-idak, tanba preparasaun di'ak sei fó konfiansa ba ita-boot sira kona-ba efikásia métodu ida-idak ne'ebé ita aplika."
p45,Tempu atu halibur informasaun
p46,Hadi'a tempu atu hala'o métodu ida-idak ba tempu respondente ka grupu komunidade ne'ebé alvu.
p47,Respondente
p48,"Komprende respondente potensiál sira ne'ebé ita sei hasoru durante perfíl peska ne'e importante tebes atu hala'o levantamentu. Grupu ka individuál sira ne'ebé sei hetan levantamentu tenke simu notifikasaun antes. Tanba ne'e, introdús lideransa komunitáriu sira ne'ebé iha influénsia tenke sai parte ida husi servisu pre-suku."
p49,Lojistika
p50,Kada métodu iha nesesidade lojístika no materiál. Asegura katak rekursu no ekipamentu sira ne'ebé presiza ba kada métodu perfíl peska nian prepara tiha ona.
p51,Lista kontaktu ema xave
p52,Salva lista kontaktu ema xave ida iha ita-nia telefone no mós iha versaun impresaun ba back up.
p53,Saúde no seguransa
p54,Asegura katak Ita-Boot iha kondisaun di'ak atu halo peska nia perfíl. Lori ajuda primeiru ne'ebé importante.
p55,Fokus Diskusaun Grupu Matadalan
p56,"Tuir mai iha matadalan no rekomendasaun kona-ba hala'o grupu fokus ida atu kaptura informasaun kona-ba perfíl komunidade. Halo sesaun grupu fokus ida rekomenda atu enkoraja diálogu, kaptura opiniaun oioin, no hahú harii relasaun ho membru komunidade importante sira. Maske nune'e, se grupu fokus ida la bele haree, peskiza kona-ba perfíl komunidade nian bele hala'o hanesan entrevista individuál ho parte interesada importante sira ne'ebé uza formuláriu Kobo ""Suku Profiling Komunidade nian"". Iha jerál, objetivu husi ezersísiu perfíl komunidade nian, maske iha grupu fokus ka formatu entrevista individuál, mak atu kompriende paizajen jerál komunidade nian no peska ne'ebé opera iha komunidade nia laran."
p57,Molok hala'o grupu foku
p58,"Molok organiza grupu fokus formál ida kona-ba perfíl peska, rekomenda atu halo konversasaun informál no observasaun partisipante sira. Métodu ida-ne'e signifika gasta tempu, harii relasaun, no kompriende peska uza diskusaun informál no observasaun partisipante sira."
p59,"Konversasaun informál importante atu kompriende di'ak liu tan kontestu peska jerál molok halo diskusaun grupu fokus. Uza métodu ida-ne'e nu'udar pontu inísiu hodi halo formulasaun ba konteúdu diskusaun grupu fokus. Métodu ida-ne'e sei fó dalan ba ita atu hatene komunidade peska, hahú harii relasaun, no hetan konfiansa."
p60,Rekomenda sujestaun atu halo diskusaun informál:
tip1,"Respeita diferensa kulturál sira. Halo tuir norma sosiál sira hanesan kumprimentu ne'ebé bele simu, hatais kódigu, no respeita prátika relijioza sira. Hatudu haraik-an, hatudu haraik-an, no rona ba parte-interesada sira-nia hanoin no la obriga ita rasik. Hela iha komunidade laran, harii relatóriu, no fahe hahán bele ajuda hametin konfiansa."
tip2,"Uza tempu ho parte interesada sira. La iha tempu badak atu hetan konfiansa no apoiu. Liu-liu iha komunidade laran di'ak atu haree, gasta tempu iha suku no hasoru ema. Prepara an atu diskute asuntu luan iha komunidade laran. Keta koko atu dudu ajenda ida."
tip3,"Uza língua lokál se bele, se la bele uza língua baibain. Se lae, uza tradutór ida. Hanoin didi'ak kona-ba sala sira ne'ebé tradús iha Biblia. Tradusaun cross check-in entre tradutór ida liu bele ajuda hamenus interpretasaun ne'ebé la loos."
