key,es
q97,Longitud de la gónada (cm)
q98,Aparición del espermatóforo
q99,Aparición de líneas en las glándulas de los ovarios.
q100,Estilete
q101,El ID del estilete para esta muestra es:
a35,kilogramos (kg)
a36,gramos (g)
a37,libras (libras)
a38,onzas (oz)
a24,Arrecife
a25,pastos marinos
a26,Mangle
a27,Llanura de barro
a28,Arena
a29,Aguas profundas
a30,Otro
a7,Sí
a8,No
a55,sin hielo
a56,Hielo utilizado durante la captura.
a57,Hielo utilizado durante el aterrizaje.
a58,Hielo utilizado tanto durante la captura como durante el aterrizaje.
a59,"Pico entero, intacto"
a60,"Pico dañado, roto"
a61,No roto
a62,"Desgarrado, tripas expuestas"
a11,Motorizado Grande > 15 HP
a12,Pequeño Motorizado < 15 HP
a13,No motorizado con remo
a14,No motorizado con vela
a14.5,Motorizado con vela
a15,"No embarcación, entra desde playa o tierra."
a53,Masculino
a54,Femenino
a74,Opaco
a75,Blanco
a76,Blanquecino
a77,Blanco
a78,Beige
a79,Naranja amarillo
a80,Amarillo oscuro
a81,I
a82,II
a83,III
a84,IV
a85,Ninguno
a86,Pocos
a87,Muchos
a88,Ninguno
a89,Líneas poco claras
a90,Líneas claras
a48,Mala calidad
a49,Demasiado pequeña
a50,Demasiado grande
a51,guardado para uno mismo
a52,Otro
a63,Longitud
a64,Calidad
a65,Gónada
a66,Estilete
a67,Etapa de madurez de las gónadas
a20,Compresor/Buceo
a21,Buceo libre
a22,Caminando
a23,Otro
a16,captura entera
a17,parte de pescador
a3,Masculino
a4,Femenino
a5,no binario
a6,Empresa compuesta por varias personas (sin género)
a68,Sí
a69,"No, la garra está rota y no llega a la base."
a70,"No, la garra está rota en la base."
a71,Ninguno esta roto
a72,1-3 roto
a73,4-6 rotos
a31,
a32,
a33,
a34,
a39,
a40,
a41,
a42,
a43,Entero
a44,Mercado limpio/Parcialmente procesado
a45,Filete
a46,Cola
a47,Aleta
sp2,Cangrejo
sp1,Pulpo
star,Solo se aplica a socios o países designados.
question,Pregunta
answer,Opciones de respuesta
q47,Peso total de la captura
q49,Peso total a vender
q55,Peso total de especies
q65,*Peso individual*
