key,fr
q73,*Longueur de la carapace (cm)*
q74,*Largeur de la carapace (cm)*
q75,*Longueur totale individuelle (cm)*
q76,*Poids individuel (${weight_unit_samples})*
q77,*Stade de maturité des gonades*
q78,Qualité des captures
q79,La glace a-t-elle été utilisée pour le stockage ?
q79.5,Température du poulpe (Celsius)
q80,Utilisez la carte de couleurs pour déterminer la valeur quantitative de la couleur du poulpe sur une échelle de 1 à 5.
q81,Nombre de tentacules
q82,Des écorchures physiques ?
q83,Pourcentage (%) de la surface du poulpe présentant des abrasions
q84,Le bec
q85,Peau
q86,Qualité des captures
q87,Le crabe est-il encore vivant ?
q88,Les yeux et le corps sont-ils réactifs au toucher ?
q89,Les yeux sont-ils intacts ?
q90,Les griffes sont-elles intactes ?
q91,Combien de jambes sont cassées ?
q92,Le crabe mousse-t-il à la bouche ?
q93,Gonades
q94,Poids des gonades (g)
q95,Couleur des gonades
q96,Stade de la gonade
q97,Longueur des gonades (cm)
q98,Apparition du spermatophore
q99,Apparition de lignes dans les glandes ovariennes
q100,Stylet
q101,L'ID de stylet pour cet exemple est :
a35,kilogrammes (kg)
a36,grammes (g)
a37,livres (lbs)
a38,onces (oz)
a24,Récif
a25,Herbiers marins
a26,Mangrove
a27,Vasière
a28,Sable
a29,Eaux profondes
a30,Autre
a7,Oui
a8,Non
a55,Pas de glace
a56,Glace utilisée lors de la capture
a57,Glace utilisée lors du débarquement
a58,Glace utilisée lors de la capture et du débarquement
a59,"Bec entier, ininterrompu"
a60,"Bec endommagé, cassé"
a61,Pas déchiré
a62,"Déchiré, les tripes exposées"
a11,Grand Motorisé > 15 CV
a12,Petit Motorisé < 15 CV
a13,Non motorisé avec pagaie
a14,Non motorisé avec voile
a14.5,Motorisé avec voile
a15,"Pas de bateau, entre par la plage ou par terre"
a53,Mâle
a54,Femelle
a74,Opaque
a75,Blanc
a76,Blanc cassé
a77,Blanc
a78,Beige
a79,Orange jaune
a80,Jaune foncé
a81,I
a82,II
a83,III
a84,IV
a85,Aucun
a86,Peu
a87,Beaucoup
a88,Aucun
a89,Des lignes peu claires
a90,Des lignes claires
a48,Mauvaise qualité
a49,Trop petit
a50,Trop grand
a51,Gardé pour soi
a52,Autre
a63,Longueur
a64,Qualité
a65,Gonade
a66,Stylet
a67,Stade de maturité des gonades
a20,Compresseur/Plongée sous-marine
a21,Plongée libre
a22,Marche
a23,Autre
a16,Prise entière
a17,La part du pêcheur
a3,Mâle
a4,Femelle
a5,Non binaire
a6,Entreprise comprenant plusieurs personnes (sans distinction de sexe)
a68,Oui
a69,"Non, la griffe est cassée et n'atteint pas la base"
a70,"Non, la griffe est cassée à la base"
a71,Aucun n'est cassé
a72,1-3 cassé
a73,4-6 cassé
a31,Marée de printemps (Marée haute)
a32,Marée de printemps Marée basse
a33,Marée de morte-eau (marée haute)
a34,Marée de morte-eau (marée basse)
a39,
a40,Secs
a41,Sel
a42,Fumée
a43,entier
a44,Marché propre/Partiellement transformé
a45,filet
a46,queue
a47,nageoire
sp2,Crabe
sp1,Pieuvre
star,S'applique uniquement aux partenaires ou pays désignés.
question,Question
answer,Choix de réponses
q47,Poids total des captures
q49,Poids total à vendre
q55,Poids total des espèces
q65,*Poids individuel*
