key,tet
a21,Luku Livre
a22,Meti
a23,Seluk
a16,Ikan ne'e hotu-hotu nian
a17,Ikan ne'e fahe ona
a3,Mane
a4,Feto
a5,Non-binariu
a6,
a68,Yes
a69,"No, the claw is broken and does not reach the base"
a70,"No, the claw is broken at the base"
a71,None are broken
a72,1-3 broken
a73,4-6 broken
a31,
a32,
a33,
a34,
a39,
a40,
a41,
a42,
a43,
a44,
a45,
a46,
a47,
sp2,Kadiuk
sp1,Gurita
star,Aplika de'it ba parseiru ka nasaun sira ne'ebé deside ona.
question,Pergunta
answer,Resposta ba desizaun
q47,Total todan ikan ne'ebe sira kaer
q49,Totál todan atu ba fa'an
q55,Total espésie hotu nia todan
q65,*Todan Individual*
