key,pt
q53,Unidade de peso da captura
q54,Número total
q56,Quantas amostras você está coletando para esta espécie?
q57,Unidade de peso para amostras individuais
q58,**Amostra 1:**
q60,*Largura (cm)*
q61,*Comprimento do manto (cm)*
q62,*Comprimento da carapaça (cm)*
q63,*Largura da carapaça (cm)*
q64,*Comprimento total individual (cm)*
q67,**Amostra 10:**
subtitle7,Amostras (${calc_local_name})
q67.5,"Além dos dados de comprimento, que outros dados você está coletando?"
q68,Quantas amostras você está coletando para esta espécie?
q69,Unidade de peso para amostras individuais
q70,**Amostra 1:**
q59,*Sexo*
q71,*Largura (cm)*
q72,*Comprimento do manto (cm)*
q73,*Comprimento da carapaça (cm)*
q74,*Largura da carapaça (cm)*
q75,*Comprimento total individual (cm)*
q76,*Peso individual (${weight_unit_samples})*
q77,*Estágio de maturidade das gônadas*
q78,Qualidade de captura
q79,O gelo foi usado para armazenamento?
q79.5,Temperatura do polvo (Celsius)
q80,Use o cartão de cores para determinar o valor quantitativo da cor do polvo em uma escala de 1 a 5.
q81,Número de tentáculos
q82,Abrasões físicas?
q83,Porcentagem (%) da superfície do polvo com abrasões
q84,Bico
q85,Pele
q86,Qualidade de captura
q87,O caranguejo ainda está vivo?
q88,Os olhos e o corpo reagem ao toque?
q89,Os olhos estão intactos?
q90,As garras estão intactas?
q91,Quantas pernas estão quebradas?
q92,O caranguejo está espumando pela boca?
q93,Gônadas
q94,Peso das gônadas (g)
q95,Cor das gônadas
q96,Estágio da Gônada
q97,Comprimento da gônada (cm)
q98,Aparência do espermatóforo
q99,Aparecimento de linhas nas glândulas ovarianas
q100,Estilete
q101,O ID do estilete para esta amostra é:
a35,quilogramas (kg)
a36,gramas (g)
a37,libras (lbs)
a38,onças (oz)
a24,Recife
a25,Algas marinhas
a26,Mangue
a27,Plano de lama
a28,Areia
a29,Águas profundas
a30,Outro
a7,Sim
a8,Não
a55,Sem gelo
a56,Gelo usado durante a captura
a57,Gelo usado durante o pouso
a58,Gelo usado durante a captura e o pouso
a59,"Bico inteiro, intacto"
a60,"Bico danificado, quebrado"
a61,Não rasgado
a62,"Rasgado, entranhas expostas"
a11,Grande motorizado > 15 HP
a12,Pequeno motorizado < 15 HP
a13,Não motorizado com remo
a14,Não motorizado com vela
a14.5,Motorizado com vela
a15,"Nenhum barco, entra pela praia ou terra"
a53,Macho
a54,Fêmea
a74,Opaco
a75,Branco
a76,Off white
a77,Branco
a78,Bege
a79,Laranja amarelo
a80,Amarelo escuro
a81,I
a82,II
a83,III
a84,IV
a85,Nenhum
a86,Alguns
a87,Muitos
a88,Nenhum
a89,Linhas pouco claras
a90,Linhas claras
a48,Qualidade ruim
a49,Muito pequeno
a50,Muito grande
a51,Guardado para si mesmo
a52,Outro
a63,Comprimento
a64,Qualidade
a65,Gônada
a66,Estilete
a67,Estágio de maturidade das gônadas
a20,Compressor/mergulho
a21,Mergulho livre
a22,Andando
a23,Outro
a16,Captura inteira
a17,A parte de Fisher
a3,Macho
a4,Fêmea
a5,Não binário
a6,Empresa que engloba várias pessoas (sem género)
a68,Sim
a69,"Não, a garra está quebrada e não chega à base"
a70,"Não, a garra está quebrada na base"
a71,Nenhum está quebrado
a72,1-3 quebrado
a73,4-6 quebrado
a31,
a32,
a33,
a34,
a39,Nao
a40,Seco
a41,Salgado
a42,Fumado
a43,Inteiro
a44,Limpo de mercado/Parcialmente processado
a45,Filete
a46,Rabo
a47,Barbatana
sp2,Caranguejo
sp1,Polvo
star,Aplica-se apenas a parceiros ou países designados.
question,Pergunta
answer,Opções de resposta
q47,Peso total da captura
q49,Peso total a ser vendido
q55,Peso total das espécies
q65,*Peso individual*
