key,mg
6b,"Ny angon-drakitra dia alefa ho fanamarinana amin'ny tranga roa; 1) ny anarana vaovao ho an'ny mpanjono, mpividy, mpanangona angon-drakitra na karazany dia ampiana tanana ao amin'ny Kobo Collect, na 2) ny sanda isa dia mihoatra ny fetra napetraka. Ireo fidirana ireo dia tsy maintsy hamarinina alohan'ny hampidirana azy ao amin'ny angon-drakitra farany, hita maso ao amin'ny dashboard, ary ampiana amin'ny rakitra referansa."
6c,Ny anarana vaovao na ny angon-drakitra misy sainam-pirenena dia alefa any amin'ny tabilao fanaraha-maso kalitao ao amin'ny Smartsheet mba hanamarinana ny ekipa eny an-kianja. Ny latabatra fanaraha-maso kalitao dia manokana ho an'ny mpiara-miasa ary azo idirana amin'ny alàlan'ny fangatahana fanavaozana alefa amin'ny mailakao na amin'ny fitsidihana ireo rohy Fijerena Mavitrika omena anao. Ny fitarihan'ny ekipa eny an-kianja dia hampandrenesina amin'ny alàlan'ny mailaka rehefa mila voamarina ao amin'ny ny angona.
6d,"Manamarina anarana vaovao: rehefa misy anarana vaovao ampidirina mandritra ny fanangonana angon-drakitra, ireo fidirana ireo dia ampifandraisina ho azy amin'ireo rakitra referansa mba hanombanana raha mety efa misy ny fidirana vaovao ao amin'ireo rakitra referansa, saingy angamba amin'ny fomba hafa no fanoratana azy. Ny fidirana mitovy amin'izany dia hanampy amin'ny latabatra eo ambanin'ny tsanganana ""ref_match"". Afaka manamarina mora foana ny fitarihan'ny ekipa raha toa ka efa ao anatin'ny rakitra fanovozan-kevitra ny angon-drakitra"" vaovao"". Ny mpitarika ekipa dia hamita ny tsanganana ""validation_options"" isaky ny latabatra amin'ny alàlan'ny fisafidianana na new_data, ny fidirana angon-drakitra miampita avy amin'ny rakitra referansa (izany hoe ""ref_match""), hafa, na esory. Raha voafantina ny"" hafa ""dia tsy maintsy manome anarana ao amin'ny tsanganana"" hafa "" ianao. Raha anarana karazana vaovao eo an-toerana izay mila hamarinina, dia homena tsanganana misy ny sary nalaina nandritra ny fanangonana angon-drakitra."
6e,"Fanamarinana ny soatoavina isa miaraka amin'ny fampitandremana tokonam-baravarana: ho an'ny fidirana angon-drakitra misy saina, ny mpitarika ekipa dia hamita ny fanamarinana angon-drakitra ao amin'ny tsanganana ""marina"" amin'ny fisafidianana Y (eny, marina ny soatoavina), N (tsia, tsy marina ny soatoavina), na esory (tsy azo hamarinina ny angona ary tokony hesorina amin'ny angon-drakitra master). Raha tsia no voafantina, ny sanda marina ho an'ny mpisoratra na ny mpisolo anarana dia tokony hampidirina ao amin'ny tsanganana ""correct_numerator"" sy ""correct_denominator""."
6f,"Raha vantany vao voamarina ao amin'ny tabilao fankatoavana ny angon-drakitra, dia hampiditra fampahalalana vaovao amin'ny rakitra fanondroana izahay ary hanome fanitsiana ilaina amin'ny angon-drakitra fototra."
step7,Fanavaozana ny takelaka fandikan-teny
7a,Ny fandikan-teny ho an'ny fiteny rehetra dia vita amin'ny fanitsiana ireo takelaka mety amin'ny Smartsheet.
step8,Alao sary an-tsaina sy ampiasao ny angona
8a,Ny fanadihadiana sy ny sary mandeha ho azy dia ho hita amin'ny alàlan'ny dashboard mahazatra. Azo alaina ao amin'ny dashboard na rohy mivantana mankany amin'ny tahiry hafa ihany koa ny angon-drakitra.
p7,Azafady mba ampahafantaro anay raha manana fanontaniana ianao.
p8,Misaotra anao!
