key,es
6c,Los nombres nuevos o los datos marcados se envían a la tabla de control de calidad correspondiente en Smartsheet para que los equipos de campo los validen. Las tablas de control de calidad son específicas de los socios y se puede acceder a ellas mediante solicitudes de actualización enviadas a su correo electrónico o visitando los enlaces de vista dinámica que se le proporcionan. Los líderes del equipo de campo serán notificados por correo electrónico cuando los datos deban validarse en las tablas de control de calidad.
6d,"Validación de nuevos nombres: Cuando se ingresa un nuevo nombre durante la recopilación de datos, estas entradas se comparan automáticamente con los archivos de referencia para evaluar si es posible que ya existan nuevas entradas en los archivos de referencia, pero tal vez se escriban de manera diferente. Cualquier entrada existente similar se agregará a la tabla de control de calidad en las columnas ""ref_match"". Los líderes del equipo pueden verificar fácilmente si los ""nuevos"" datos ya están en los archivos de referencia. Los líderes del equipo completarán la columna ""validation_options"" en cada tabla seleccionando new_data, la entrada de datos con referencias cruzadas del archivo de referencia (es decir, una ""ref_match""), other o remove. Si se selecciona ""otro"", debe proporcionar un nombre en la columna ""otro"". Si se trata de un nuevo nombre de especie local que debe validarse, se proporcionará una columna con la foto tomada durante la recopilación de datos como referencia."
6e,"Validación de valores numéricos con advertencias de umbral: Para cualquier entrada de datos marcada, los líderes de equipo completarán la validación de datos en la columna ""correcta"" seleccionando Y (sí, los valores son correctos), N (no, los valores no son correctos) o eliminar (los datos no se pueden validar y deben eliminarse del conjunto de datos maestro). Si se selecciona no (‘N’), los valores correctos para el numerador o denominador deben ingresarse en las columnas ""numerador correcto"" y ""denominador correcto""."
6f,"Una vez que los datos se hayan verificado en las tablas de validación, agregaremos nueva información al archivo de referencia y proporcionaremos las correcciones necesarias al conjunto de datos maestro."
step7,Actualizar la hoja de traducciones
7a,Las traducciones de todos los idiomas se completan editando las hojas correspondientes en Smartsheet.
step8,Visualice y use datos
8a,Los análisis y visualizaciones automatizados estarán disponibles a través de paneles estandarizados. Los conjuntos de datos también estarán disponibles mediante descarga en el panel de control o enlace directo a otra base de datos.
p7,"Por favor, háganos saber si tiene alguna pregunta."
p8,¡Gracias!
